FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,,
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.B.2: System performance reports contain information that can be used as a risk indicator to detect information security incidents.,Baseline,Full Summarily,"DE.AE-02.02: The organization establishes, documents, and regularly reviews event alert parameters and thresholds, as well as rule-based triggers to support automated responses, when known attack patterns, signatures or behaviors are detected.",DE.AE-02.02,DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection","D5.DR.De.B.3: Tools and processes are in place to detect, alert, and trigger the incident response program.",Baseline,Full,"RS.MA-02.01: Tools and processes are in place to ensure timely detection, inspection, assessment, and analysis of security event data for reliable activation of incident response processes.",RS.MA-02.01,RESPOND / Incident Management / Incident Triage & Validaton
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.E.1: The institution has processes to detect and alert the incident response team when potential insider activity manifests that could lead to data theft or destruction.,Evolving,Full Summarily,"GV.RR-04.03: The organization integrates insider threat considerations into its human resource, risk management, and control programs to address the potential for malicious or unintentional harm by trusted employees or third parties.",GV.RR-04.03,"GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices"
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.E.1: The institution has processes to detect and alert the incident response team when potential insider activity manifests that could lead to data theft or destruction.,Evolving,Full Summarily,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DE.CM-03.02,DETECT / Continuous Monitoring / Personnel Activity Monitoring
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.E.1: The institution has processes to detect and alert the incident response team when potential insider activity manifests that could lead to data theft or destruction.,Evolving,Full Summarily,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DE.CM-03.03,DETECT / Continuous Monitoring / Personnel Activity Monitoring
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.Int.1: The incident response program is triggered when anomalous behaviors and attack patterns or signatures are detected.,Intermediate,Full Summarily,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DE.CM-03.03,DETECT / Continuous Monitoring / Personnel Activity Monitoring
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.Int.1: The incident response program is triggered when anomalous behaviors and attack patterns or signatures are detected.,Intermediate,Full Summarily,"DE.AE-02.02: The organization establishes, documents, and regularly reviews event alert parameters and thresholds, as well as rule-based triggers to support automated responses, when known attack patterns, signatures or behaviors are detected.",DE.AE-02.02,DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.Int.1: The incident response program is triggered when anomalous behaviors and attack patterns or signatures are detected.,Intermediate,Full Summarily,"RS.MA-02.01: Tools and processes are in place to ensure timely detection, inspection, assessment, and analysis of security event data for reliable activation of incident response processes.",RS.MA-02.01,RESPOND / Incident Management / Incident Triage & Validaton
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection","D5.DR.De.Int.2: The institution has the ability to discover infiltration, before the attacker traverses across systems, establishes a foothold, steals information, or causes damage to data and systems.",Intermediate,Full Summarily,"DE.AE-02.01: The organization performs timely collection of event data, as well as advanced and automated analysis (including the use of security tools such as antivirus and IDS/IPS) on the detected events to:
(1) Assess and understand the nature, scope and method of the attack;
(2) Predict and block a similar future attack; and
(3) Report timely risk metrics.",DE.AE-02.01,DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection","D5.DR.De.Int.2: The institution has the ability to discover infiltration, before the attacker traverses across systems, establishes a foothold, steals information, or causes damage to data and systems.",Intermediate,Full Summarily,"RS.MA-02.01: Tools and processes are in place to ensure timely detection, inspection, assessment, and analysis of security event data for reliable activation of incident response processes.",RS.MA-02.01,RESPOND / Incident Management / Incident Triage & Validaton
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.Int.3: Incidents are detected in real time through automated processes that include instant alerts to appropriate personnel who can respond.,Intermediate,Full Summarily,"DE.AE-02.02: The organization establishes, documents, and regularly reviews event alert parameters and thresholds, as well as rule-based triggers to support automated responses, when known attack patterns, signatures or behaviors are detected.",DE.AE-02.02,DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.Int.3: Incidents are detected in real time through automated processes that include instant alerts to appropriate personnel who can respond.,Intermediate,Full Summarily,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DE.AE-03.02,DETECT / Adverse Event Analysis / Event Information Correlation
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.Int.3: Incidents are detected in real time through automated processes that include instant alerts to appropriate personnel who can respond.,Intermediate,Full Summarily,"RS.MA-02.01: Tools and processes are in place to ensure timely detection, inspection, assessment, and analysis of security event data for reliable activation of incident response processes.",RS.MA-02.01,RESPOND / Incident Management / Incident Triage & Validaton
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection","D5.DR.De.Int.4: Network and system alerts are correlated across business units to better detect and prevent multifaceted attacks (e.g., simultaneous DDoS attack and account takeover).",Intermediate,Full,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DE.AE-03.02,DETECT / Adverse Event Analysis / Event Information Correlation
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.Int.5: Incident detection processes are capable of correlating events across the enterprise.,Intermediate,Full,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DE.AE-03.02,DETECT / Adverse Event Analysis / Event Information Correlation
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.A.1: Sophisticated and adaptive technologies are deployed that can detect and alert the incident response team of specific tasks when threat indicators across the enterprise indicate potential external and internal threats.,Advanced,Full Summarily,"DE.AE-02.01: The organization performs timely collection of event data, as well as advanced and automated analysis (including the use of security tools such as antivirus and IDS/IPS) on the detected events to:
(1) Assess and understand the nature, scope and method of the attack;
(2) Predict and block a similar future attack; and
(3) Report timely risk metrics.",DE.AE-02.01,DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.A.1: Sophisticated and adaptive technologies are deployed that can detect and alert the incident response team of specific tasks when threat indicators across the enterprise indicate potential external and internal threats.,Advanced,Full Summarily,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DE.AE-03.02,DETECT / Adverse Event Analysis / Event Information Correlation
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.A.1: Sophisticated and adaptive technologies are deployed that can detect and alert the incident response team of specific tasks when threat indicators across the enterprise indicate potential external and internal threats.,Advanced,Full Summarily,"RS.MA-02.01: Tools and processes are in place to ensure timely detection, inspection, assessment, and analysis of security event data for reliable activation of incident response processes.",RS.MA-02.01,RESPOND / Incident Management / Incident Triage & Validaton
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.A.2: Automated tools are implemented to provide specialized security monitoring based on the risk of the assets to detect and alert incident response teams in real time.,Advanced,Partial,"GV.OC-04.04: The organization prioritizes the resilience design, planning, testing, and monitoring of systems and other key internal and external dependencies according to their criticality to the supported business functions, enterprise mission, and to the financial services sector.",GV.OC-04.04,GOVERN / Organizational Context / Stakeholder Service Expectations
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 1: Detection",D5.DR.De.Inn.1: The institution is able to detect and block zero-day attempts and inform management and the incident response team in real time.,Innovative,Full,"DE.AE-02.01: The organization performs timely collection of event data, as well as advanced and automated analysis (including the use of security tools such as antivirus and IDS/IPS) on the detected events to:
(1) Assess and understand the nature, scope and method of the attack;
(2) Predict and block a similar future attack; and
(3) Report timely risk metrics.",DE.AE-02.01,DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.B.1: Appropriate steps are taken to contain and control an incident to prevent further unauthorized access to or use of customer information.,Baseline,Full,"RS.MI-01.01: The organization has established processes to implement vulnerability mitigation plans, involve third-party partners and outside expertise as needed, and contain incidents in a timely manner.",RS.MI-01.01,RESPOND / Incident Mitigation / Incident Containment
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.E.1: The incident response plan is designed to prioritize incidents, enabling a rapid response for significant cybersecurity incidents or vulnerabilities.",Evolving,Full Summarily,"GV.OC-04.04: The organization prioritizes the resilience design, planning, testing, and monitoring of systems and other key internal and external dependencies according to their criticality to the supported business functions, enterprise mission, and to the financial services sector.",GV.OC-04.04,GOVERN / Organizational Context / Stakeholder Service Expectations
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.E.1: The incident response plan is designed to prioritize incidents, enabling a rapid response for significant cybersecurity incidents or vulnerabilities.",Evolving,Full Summarily,"DE.AE-04.01: The organization has a documented process to analyze and triage incidents to assess root cause, technical impact, mitigation priority, and business impact on the organization, as well as across the financial sector and other third party stakeholders.",DE.AE-04.01,DETECT / Adverse Event Analysis / Impact & Scope Determination
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.E.1: The incident response plan is designed to prioritize incidents, enabling a rapid response for significant cybersecurity incidents or vulnerabilities.",Evolving,Full Summarily,"DE.AE-08.01: Defined criteria and severity levels are in place to facilitate the declaration, escalation, organization, and alignment of response activities to response plans within the organization and across relevant third parties.",DE.AE-08.01,DETECT / Adverse Event Analysis / Incident Declaration
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.2: A process is in place to help contain incidents and restore operations with minimal service disruption.,Evolving,Full Summarily,"GV.OC-05.03: The organization defines objectives (e.g., Recovery Time Objective, Maximum Tolerable Downtime, Impact Tolerance) for the resumption of critical operations in alignment with business imperatives, stakeholder obligations, and critical infrastructure dependencies.",GV.OC-05.03,GOVERN / Organizational Context / Organizational Service Dependencies
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.2: A process is in place to help contain incidents and restore operations with minimal service disruption.,Evolving,Full Summarily,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GV.RM-09.02,GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.2: A process is in place to help contain incidents and restore operations with minimal service disruption.,Evolving,Full Summarily,"RS.MI-01.01: The organization has established processes to implement vulnerability mitigation plans, involve third-party partners and outside expertise as needed, and contain incidents in a timely manner.",RS.MI-01.01,RESPOND / Incident Mitigation / Incident Containment
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.E.3: Containment and mitigation strategies are developed for multiple incident types (e.g., DDoS, malware).",Evolving,Full Summarily,"ID.IM-02.05: The organization establishes testing programs that include a range of scenarios, including severe but plausible scenarios (e.g., disruptive, destructive, corruptive), that could affect the organization's ability to service internal and external stakeholders.",ID.IM-02.05,IDENTIFY / Improvement / Tests & Exercises
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.E.3: Containment and mitigation strategies are developed for multiple incident types (e.g., DDoS, malware).",Evolving,Full Summarily,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",ID.IM-04.08,IDENTIFY / Improvement / Plans Affecting Operations
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.4: Procedures include containment strategies and notifying potentially impacted third parties.,Evolving,Full Summarily,"RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",RS.CO-03.02,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.4: Procedures include containment strategies and notifying potentially impacted third parties.,Evolving,Full Summarily,"RS.MI-01.01: The organization has established processes to implement vulnerability mitigation plans, involve third-party partners and outside expertise as needed, and contain incidents in a timely manner.",RS.MI-01.01,RESPOND / Incident Mitigation / Incident Containment
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.4: Procedures include containment strategies and notifying potentially impacted third parties.,Evolving,Full Summarily,"RC.CO-04.01: Pre-established communication plans and message templates, and authorized protocols, contacts, media, and communications, are used to notify and inform the public and key external stakeholders about an incident.",RC.CO-04.01,RECOVER / Incident Recovery Communication / Public Information Sharing
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.5: Processes are in place to trigger the incident response program when an incident occurs at a third party.,Evolving,Full Summarily,"GV.RM-05.02: The organization establishes minimum requirements for its third-parties that include how the organizations will communicate and coordinate in times of emergency, including:
1) Joint maintenance of contingency plans;
2) Responsibilities for responding to incidents, including forensic investigations;
3) Planning and testing strategies that address severe events in order to identify single points of failure that would cause wide-scale disruption; and
4) Incorporating the potential impact of an incident into their BCM process and ensure resilience capabilities are in place.",GV.RM-05.02,GOVERN / Risk Management Strategy / Lines of Communication
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.5: Processes are in place to trigger the incident response program when an incident occurs at a third party.,Evolving,Full Summarily,"GV.SC-08.01: The organization's resilience strategy, plans, tests, and exercises incorporate its external dependencies and critical business partners.",GV.SC-08.01,GOVERN / Supply Chain Risk Management / Third Party Incident Management Integration
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.6: Records are generated to support incident investigation and mitigation.,Evolving,Full Summarily,"DE.AE-07.02: Relevant event data is packaged for subsequent review and triage and events are categorized for efficient handling, assignment, and escalation.",DE.AE-07.02,DETECT / Adverse Event Analysis / Contextual Analysis
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.6: Records are generated to support incident investigation and mitigation.,Evolving,Full Summarily,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RS.AN-03.01,RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.E.7: The institution calls upon third parties, as needed, to provide mitigation services",Evolving,Full Summarily,"ID.IM-04.07: The organization pre-identifies, pre-qualifies, and retains third party incident management support and forensic service firms, as required, that can be called upon to quickly assist with incident response, investigation, and recovery.",ID.IM-04.07,IDENTIFY / Improvement / Plans Affecting Operations
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.E.7: The institution calls upon third parties, as needed, to provide mitigation services",Evolving,Full Summarily,"RS.MI-01.01: The organization has established processes to implement vulnerability mitigation plans, involve third-party partners and outside expertise as needed, and contain incidents in a timely manner.",RS.MI-01.01,RESPOND / Incident Mitigation / Incident Containment
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.8: Analysis of events is used to improve the institution's security measures and policies.,Evolving,Full Summarily,"ID.IM-03.01: A formal process is in place to improve protection controls and processes by integrating recommendations, findings, and lessons learned from exercises, testing, audits, assessments, and incidents.",ID.IM-03.01,IDENTIFY / Improvement / Improvements from Lessons Learned
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.8: Analysis of events is used to improve the institution's security measures and policies.,Evolving,Full Summarily,"ID.IM-03.02: The organization establishes a systematic and comprehensive program to regularly evaluate and improve its monitoring and detection processes and controls as the threat environment changes, tools and techniques evolve, and lessons are learned.",ID.IM-03.02,IDENTIFY / Improvement / Improvements from Lessons Learned
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.E.8: Analysis of events is used to improve the institution's security measures and policies.,Evolving,Full Summarily,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",ID.IM-04.08,IDENTIFY / Improvement / Plans Affecting Operations
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.Int.1: Analysis of security incidents is performed in the early stages of an intrusion to minimize the impact of the incident.,Intermediate,Full Summarily,"DE.AE-04.01: The organization has a documented process to analyze and triage incidents to assess root cause, technical impact, mitigation priority, and business impact on the organization, as well as across the financial sector and other third party stakeholders.",DE.AE-04.01,DETECT / Adverse Event Analysis / Impact & Scope Determination
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.Int.1: Analysis of security incidents is performed in the early stages of an intrusion to minimize the impact of the incident.,Intermediate,Full Summarily,"RS.MA-02.01: Tools and processes are in place to ensure timely detection, inspection, assessment, and analysis of security event data for reliable activation of incident response processes.",RS.MA-02.01,RESPOND / Incident Management / Incident Triage & Validation
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.Int.2: Any changes to systems/applications or to access entitlements necessary for incident management are reviewed by management for formal approval before implementation.,Intermediate,Full Summarily,"ID.RA-07.01: The organization defines and implements change management standards and procedures, to include emergency change procedures, that explicitly address risk identified both prior to and during a change, any new risk created post-change, as well as the reviewing and approving authorities (e.g., change advisory boards).",ID.RA-07.01,IDENTIFY / Risk Assessment / Change & Exception Management
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.Int.2: Any changes to systems/applications or to access entitlements necessary for incident management are reviewed by management for formal approval before implementation.,Intermediate,Full Summarily,"ID.RA-07.02: Risk-based criteria are used to categorize each system change, to include emergency changes, to determine the necessary change process standards to apply for change planning, rollback planning, pre-change testing, change access control, post-change verification, and change review and approval.",ID.RA-07.02,IDENTIFY / Risk Assessment / Change & Exception Management
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.Int.3: Processes are in place to ensure assets affected by a security incident that cannot be returned to operational status are quarantined, removed, disposed of, and/or replaced.",Intermediate,Full Summarily,"RS.AN-06.01: The organization establishes a risk-based approach and procedures for quarantining systems, conducting investigations, and collecting and preserving evidence per best practices and forensic standards.",RS.AN-06.01,RESPOND / Incident Analysis / Investigation Documentation
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.Int.3: Processes are in place to ensure assets affected by a security incident that cannot be returned to operational status are quarantined, removed, disposed of, and/or replaced.",Intermediate,Full Summarily,"RC.RP-05.01: The organization maintains documented procedures for sanitizing, testing, authorizing, and returning systems to service following an incident or investigation.",RC.RP-05.01,RECOVER / Incident Recovery Plan Execution / Asset Integrity Restoration
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.Int.4: Processes are in place to ensure that restored assets are appropriately reconfigured and thoroughly tested before being placed back into operation.,Intermediate,Full Summarily,"RS.MI-02.01: Targeted investigations and actions are taken to ensure that all vulnerabilities, system components, devices, or remnants used or leveraged in an attack (e.g., malware, compromised accounts, open ports, etc.) are removed or otherwise returned to a secure and reliable state, or that plans to address the vulnerabilities are documented.",RS.MI-02.01,RESPOND / Incident Mitigation / Incident Eradication
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.Int.4: Processes are in place to ensure that restored assets are appropriately reconfigured and thoroughly tested before being placed back into operation.,Intermediate,Full Summarily,"RC.RP-05.01: The organization maintains documented procedures for sanitizing, testing, authorizing, and returning systems to service following an incident or investigation.",RC.RP-05.01,RECOVER / Incident Recovery Plan Execution / Asset Integrity Restoration
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.Int.4: Processes are in place to ensure that restored assets are appropriately reconfigured and thoroughly tested before being placed back into operation.,Intermediate,Full Summarily,"RC.RP-05.02: Business, technology, cybersecurity, and relevant third-party stakeholders confirm that systems, data, and services have been returned to functional and secure states and that a stable operational status has been achieved.",RC.RP-05.02,RECOVER / Incident Recovery Plan Execution / Asset Integrity Restoration
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.A.1: The incident management function collaborates effectively with the cyber threat intelligence function during an incident.,Advanced,Full Summarily,"ID.IM-02.03: The organization tests and validates the effectiveness of the incident detection, reporting, and communication processes and protocols with internal and external stakeholders.",ID.IM-02.03,IDENTIFY / Improvement / Tests & Exercises
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.A.1: The incident management function collaborates effectively with the cyber threat intelligence function during an incident.,Advanced,Full Summarily,PR.AT-02.03: All personnel (employee and third party) are made aware of and are trained for their role and operational steps in response and recovery plans.,PR.AT-02.03,PROTECT / Awareness and Training / Specialized Role Awareness & Training
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.A.1: The incident management function collaborates effectively with the cyber threat intelligence function during an incident.,Advanced,Full Summarily,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DE.AE-06.01,DETECT / Adverse Event Analysis / Event Information Sharing
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.A.1: The incident management function collaborates effectively with the cyber threat intelligence function during an incident.,Advanced,Full Summarily,"RS.CO-03.01: The organization ensures that cyber threat intelligence is made available, in a secure manner, to authorized staff with responsibility for the mitigation of cyber risks at the strategic, tactical and operational levels within the organization.",RS.CO-03.01,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.A.2: Links between threat intelligence, network operations, and incident response allow for proactive response to potential incidents.",Advanced,Full Summarily,"ID.IM-04.02: The organization's incident response and business continuity plans contain clearly defined roles, responsibilities, and levels of decision-making authority, and include all needed areas of participation and expertise across the organization and key third-parties.",ID.IM-04.02,IDENTIFY / Improvement / Plans Affecting Operations
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.A.2: Links between threat intelligence, network operations, and incident response allow for proactive response to potential incidents.",Advanced,Full Summarily,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DE.AE-06.01,DETECT / Adverse Event Analysis / Event Information Sharing
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation","D5.DR.Re.A.2: Links between threat intelligence, network operations, and incident response allow for proactive response to potential incidents.",Advanced,Full Summarily,"RS.CO-03.01: The organization ensures that cyber threat intelligence is made available, in a secure manner, to authorized staff with responsibility for the mitigation of cyber risks at the strategic, tactical and operational levels within the organization.",RS.CO-03.01,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.A.3: Technical measures apply defense-in-depth techniques such as deep- packet inspection and black holing for detection and timely response to network-based attacks associated with anomalous ingress or egress traffic patterns and/or DDoS attacks.,Advanced,Full Summarily,DE.CM-01.01: The organization deploys intrusion detection and intrusion prevention capabilities to detect and prevent a potential network intrusion in its early stages for timely containment and recovery.,DE.CM-01.01,DETECT / Continuous Monitoring / Network Monitoring
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.A.3: Technical measures apply defense-in-depth techniques such as deep- packet inspection and black holing for detection and timely response to network-based attacks associated with anomalous ingress or egress traffic patterns and/or DDoS attacks.,Advanced,Full Summarily,"DE.CM-01.02: The organization implements mechanisms, such as alerting and filtering of sudden high volumes and suspicious incoming traffic, to detect and mitigate Denial of Service, ""bot"", and credential stuffing attacks.",DE.CM-01.02,DETECT / Continuous Monitoring / Network Monitoring
"5: Cyber Incident Management and Resilience / 2: Detection, Response, and Mitigation / 2: Response and Mitigation",D5.DR.Re.A.3: Technical measures apply defense-in-depth techniques such as deep- packet inspection and black holing for detection and timely response to network-based attacks associated with anomalous ingress or egress traffic patterns and/or DDoS attacks.,Advanced,Full Summarily,"DE.CM-01.06: The organization employs deception techniques and technologies (e.g., honeypots) to detect and prevent a potential intrusion in its early stages to support timely containment and recovery.",DE.CM-01.06,DETECT / Continuous Monitoring / Network Monitoring
