,,"Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping",,,
APRA CPG 234-67,Incident management,Detection of security compromises ,67,"Detection mechanisms typically include scanning, sensing and logging mechanisms which can be used to identify potential information security incidents. Monitoring processes could include the identification of unusual patterns of behaviour and logging that facilitates investigation and preserves forensic evidence. The strength and nature of monitoring controls would typically be commensurate with the impact of an information security incident. Monitoring processes would consider the broad set of events, ranging from the physical hardware layer to higher order business activities such as payments and changes to user access. Common monitoring techniques include: 
a)  network and user profiling that establishes a baseline of normal activity which, when combined with logging and alerting mechanisms, can enable detection of anomalous activity; 
b)  scanning for unauthorised hardware, software and changes to configurations; 
c)  sensors that provide an alert when a measure breaches a defined threshold(s) (e.g. device, server and network activity); 
d)  logging and alerting of access to sensitive data or unsuccessful logon attempts to identify potential unauthorised access; and 
e)  users with privileged access accounts subject to a greater level of monitoring in light of the heightened risks involved. ",Semantic,Superset of,8,10,"DE.CM-03.01: Account access, authentication, and authorization activities are logged and monitored, for both users and devices, to enforce authorized access.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.01
APRA CPG 234-67,Incident management,Detection of security compromises ,67,"Detection mechanisms typically include scanning, sensing and logging mechanisms which can be used to identify potential information security incidents. Monitoring processes could include the identification of unusual patterns of behaviour and logging that facilitates investigation and preserves forensic evidence. The strength and nature of monitoring controls would typically be commensurate with the impact of an information security incident. Monitoring processes would consider the broad set of events, ranging from the physical hardware layer to higher order business activities such as payments and changes to user access. Common monitoring techniques include: 
a)  network and user profiling that establishes a baseline of normal activity which, when combined with logging and alerting mechanisms, can enable detection of anomalous activity; 
b)  scanning for unauthorised hardware, software and changes to configurations; 
c)  sensors that provide an alert when a measure breaches a defined threshold(s) (e.g. device, server and network activity); 
d)  logging and alerting of access to sensitive data or unsuccessful logon attempts to identify potential unauthorised access; and 
e)  users with privileged access accounts subject to a greater level of monitoring in light of the heightened risks involved. ",Semantic,Superset of,8,10,"DE.CM-03.02: The organization's controls actively monitor personnel (both authorized and unauthorized) for access, authentication, usage, connections, devices, and anomalous behavior to rapidly detect potential cybersecurity events.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.02
APRA CPG 234-67,Incident management,Detection of security compromises ,67,"Detection mechanisms typically include scanning, sensing and logging mechanisms which can be used to identify potential information security incidents. Monitoring processes could include the identification of unusual patterns of behaviour and logging that facilitates investigation and preserves forensic evidence. The strength and nature of monitoring controls would typically be commensurate with the impact of an information security incident. Monitoring processes would consider the broad set of events, ranging from the physical hardware layer to higher order business activities such as payments and changes to user access. Common monitoring techniques include: 
a)  network and user profiling that establishes a baseline of normal activity which, when combined with logging and alerting mechanisms, can enable detection of anomalous activity; 
b)  scanning for unauthorised hardware, software and changes to configurations; 
c)  sensors that provide an alert when a measure breaches a defined threshold(s) (e.g. device, server and network activity); 
d)  logging and alerting of access to sensitive data or unsuccessful logon attempts to identify potential unauthorised access; and 
e)  users with privileged access accounts subject to a greater level of monitoring in light of the heightened risks involved. ",Semantic,Superset of,8,10,"DE.CM-03.03: The organization logs and reviews the activities of privileged users and accounts, and monitoring for anomalous behaviors is implemented.",DETECT / Continuous Monitoring / Personnel Activity Monitoring,DE.CM-03.03
APRA CPG 234-67,Incident management,Detection of security compromises ,67,"Detection mechanisms typically include scanning, sensing and logging mechanisms which can be used to identify potential information security incidents. Monitoring processes could include the identification of unusual patterns of behaviour and logging that facilitates investigation and preserves forensic evidence. The strength and nature of monitoring controls would typically be commensurate with the impact of an information security incident. Monitoring processes would consider the broad set of events, ranging from the physical hardware layer to higher order business activities such as payments and changes to user access. Common monitoring techniques include: 
a)  network and user profiling that establishes a baseline of normal activity which, when combined with logging and alerting mechanisms, can enable detection of anomalous activity; 
b)  scanning for unauthorised hardware, software and changes to configurations; 
c)  sensors that provide an alert when a measure breaches a defined threshold(s) (e.g. device, server and network activity); 
d)  logging and alerting of access to sensitive data or unsuccessful logon attempts to identify potential unauthorised access; and 
e)  users with privileged access accounts subject to a greater level of monitoring in light of the heightened risks involved. ",Semantic,Superset of,8,10,"DE.CM-06.01: The organization reviews, documents, authorizes, and monitors all third-party connections, data transfer mechanisms, and Application Programming Interfaces (APIs).",DETECT / Continuous Monitoring / Service Provider Monitoring,DE.CM-06.01
APRA CPG 234-67,Incident management,Detection of security compromises ,67,"Detection mechanisms typically include scanning, sensing and logging mechanisms which can be used to identify potential information security incidents. Monitoring processes could include the identification of unusual patterns of behaviour and logging that facilitates investigation and preserves forensic evidence. The strength and nature of monitoring controls would typically be commensurate with the impact of an information security incident. Monitoring processes would consider the broad set of events, ranging from the physical hardware layer to higher order business activities such as payments and changes to user access. Common monitoring techniques include: 
a)  network and user profiling that establishes a baseline of normal activity which, when combined with logging and alerting mechanisms, can enable detection of anomalous activity; 
b)  scanning for unauthorised hardware, software and changes to configurations; 
c)  sensors that provide an alert when a measure breaches a defined threshold(s) (e.g. device, server and network activity); 
d)  logging and alerting of access to sensitive data or unsuccessful logon attempts to identify potential unauthorised access; and 
e)  users with privileged access accounts subject to a greater level of monitoring in light of the heightened risks involved. ",Semantic,Superset of,8,10,DE.CM-06.02: The organization implements an explicit approval and logging process and sets up automated alerts to monitor and prevent any unauthorized access to a critical system by a third-party service provider.,DETECT / Continuous Monitoring / Service Provider Monitoring,DE.CM-06.02
APRA CPG 234-67,Incident management,Detection of security compromises ,67,"Detection mechanisms typically include scanning, sensing and logging mechanisms which can be used to identify potential information security incidents. Monitoring processes could include the identification of unusual patterns of behaviour and logging that facilitates investigation and preserves forensic evidence. The strength and nature of monitoring controls would typically be commensurate with the impact of an information security incident. Monitoring processes would consider the broad set of events, ranging from the physical hardware layer to higher order business activities such as payments and changes to user access. Common monitoring techniques include: 
a)  network and user profiling that establishes a baseline of normal activity which, when combined with logging and alerting mechanisms, can enable detection of anomalous activity; 
b)  scanning for unauthorised hardware, software and changes to configurations; 
c)  sensors that provide an alert when a measure breaches a defined threshold(s) (e.g. device, server and network activity); 
d)  logging and alerting of access to sensitive data or unsuccessful logon attempts to identify potential unauthorised access; and 
e)  users with privileged access accounts subject to a greater level of monitoring in light of the heightened risks involved. ",Semantic,Superset of,8,10,"DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",DE.CM-09.03
APRA CPG 234-67,Incident management,Detection of security compromises ,67,"Detection mechanisms typically include scanning, sensing and logging mechanisms which can be used to identify potential information security incidents. Monitoring processes could include the identification of unusual patterns of behaviour and logging that facilitates investigation and preserves forensic evidence. The strength and nature of monitoring controls would typically be commensurate with the impact of an information security incident. Monitoring processes would consider the broad set of events, ranging from the physical hardware layer to higher order business activities such as payments and changes to user access. Common monitoring techniques include: 
a)  network and user profiling that establishes a baseline of normal activity which, when combined with logging and alerting mechanisms, can enable detection of anomalous activity; 
b)  scanning for unauthorised hardware, software and changes to configurations; 
c)  sensors that provide an alert when a measure breaches a defined threshold(s) (e.g. device, server and network activity); 
d)  logging and alerting of access to sensitive data or unsuccessful logon attempts to identify potential unauthorised access; and 
e)  users with privileged access accounts subject to a greater level of monitoring in light of the heightened risks involved. ",Semantic,Superset of,8,10,"DE.AE-02.02: The organization establishes, documents, and regularly reviews event alert parameters and thresholds, as well as rule-based triggers to support automated responses, when known attack patterns, signatures or behaviors are detected.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,DE.AE-02.02
APRA CPG 234-67,Incident management,Detection of security compromises ,67,"Detection mechanisms typically include scanning, sensing and logging mechanisms which can be used to identify potential information security incidents. Monitoring processes could include the identification of unusual patterns of behaviour and logging that facilitates investigation and preserves forensic evidence. The strength and nature of monitoring controls would typically be commensurate with the impact of an information security incident. Monitoring processes would consider the broad set of events, ranging from the physical hardware layer to higher order business activities such as payments and changes to user access. Common monitoring techniques include: 
a)  network and user profiling that establishes a baseline of normal activity which, when combined with logging and alerting mechanisms, can enable detection of anomalous activity; 
b)  scanning for unauthorised hardware, software and changes to configurations; 
c)  sensors that provide an alert when a measure breaches a defined threshold(s) (e.g. device, server and network activity); 
d)  logging and alerting of access to sensitive data or unsuccessful logon attempts to identify potential unauthorised access; and 
e)  users with privileged access accounts subject to a greater level of monitoring in light of the heightened risks involved. ",Semantic,Superset of,8,10,"DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03.01
APRA CPG 234-68,Incident management,Detection of security compromises ,68,Monitoring processes and tools remain in step with the evolving nature of threats and contemporary industry practices. ,Semantic,Superset of,10,10,"ID.RA-03.04: The organization regularly reviews and updates its threat analysis methodology, threat information sources, and supporting tools.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.04
APRA CPG 234-68,Incident management,Detection of security compromises ,68,Monitoring processes and tools remain in step with the evolving nature of threats and contemporary industry practices. ,Semantic,Superset of,10,10,"ID.IM-03.02: The organization establishes a systematic and comprehensive program to regularly evaluate and improve its monitoring and detection processes and controls as the threat environment changes, tools and techniques evolve, and lessons are learned.",IDENTIFY / Improvement / Improvements from Lessons Learned,ID.IM-03.02
APRA CPG 234-69,Incident management,Detection of security compromises ,69,"APRA envisages that a regulated entity would establish a clear allocation of responsibilities for monitoring processes, with appropriate tools in place to enable timely detection. Access controls and segregation of duties would typically be used as a means to safeguard the integrity of the monitoring processes. ",Semantic,Superset of,10,10,"GV.RR-02.02: The organization has established and assigned roles and responsibilities for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes, and ensures adequate coverage and organizational alignment for these functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.02
APRA CPG 234-69,Incident management,Detection of security compromises ,69,"APRA envisages that a regulated entity would establish a clear allocation of responsibilities for monitoring processes, with appropriate tools in place to enable timely detection. Access controls and segregation of duties would typically be used as a means to safeguard the integrity of the monitoring processes. ",Semantic,Intersects with,8,10,"DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03.01
APRA CPG 234-69,Incident management,Detection of security compromises ,69,"APRA envisages that a regulated entity would establish a clear allocation of responsibilities for monitoring processes, with appropriate tools in place to enable timely detection. Access controls and segregation of duties would typically be used as a means to safeguard the integrity of the monitoring processes. ",Semantic,Intersects with,8,10,"DE.AE-03.02: The organization performs real-time central analysis, aggregation, and correlation of anomalous activities, network and system alerts, and relevant event and cyber threat intelligence, including both internal and external (cloud and outsourced) environments, to better detect and prevent multifaceted cyber attacks.",DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03.02
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,8,10,"ID.IM-02.05: The organization establishes testing programs that include a range of scenarios, including severe but plausible scenarios (e.g., disruptive, destructive, corruptive), that could affect the organization's ability to service internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.05
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,8,10,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,8,10,"RS.MA-01.01: The organization's response plans are in place and executed during or after an incident, to include coordination with relevant third parties and engagement of third-party incident support services.",RESPOND / Incident Management / Response Plan Execution,RS.MA-01.01
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,8,10,RS.MA-03.01: The organization categorizes and prioritizes cybersecurity incident response consistent with response plans and criticality of systems and services to the enterprise.,RESPOND / Incident Management / Incident Categorization & Prioritization,RS.MA-03.01
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,"RS.MA-04.01: Response activities are centrally coordinated, response progress and milestones are tracked and documented, and new incident information is assimilated into ongoing tasks, assignments, and escalations.",RESPOND / Incident Management / Incident Escalation,RS.MA-04.01
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,RS.MA-05.01: The organization's incident response plans define severity levels and associated criteria for initiating response plans and escalating event response to appropriate stakeholders and management levels.,RESPOND / Incident Management / Recovery Initiation,RS.MA-05.01
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,"RS.AN-07.01: Incident-related forensic data is captured, secured, and preserved in a manner supporting integrity, provenance, and evidentiary value.",RESPOND / Incident Analysis / Incident Data Collection & Preservation,RS.AN-07.01
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,"RS.CO-02.01: The organization's incident response program includes defined and approved escalation protocols, linked to organizational decision levels and communication strategies, including which types of information will be shared, with whom (e.g., the organization's governing authority and senior management), and how information provided to the organization will be acted upon.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.01
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,"RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing,RS.CO-03.02
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,"RS.MI-01.01: The organization has established processes to implement vulnerability mitigation plans, involve third-party partners and outside expertise as needed, and contain incidents in a timely manner.",RESPOND / Incident Mitigation / Incident Containment,RS.MI-01.01
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,"RC.RP-01.01: The organization executes its recovery plans, including incident recovery, disaster recovery, and business continuity plans, during or after an incident to resume operations.",RECOVER / Incident Recovery Plan Execution / Recovery Plan Execution,RC.RP-01.01
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,"RC.RP-02.01: The organization's response plans are used as informed guidance to develop and manage task plans, response actions, priorities, and assignments for responding to incidents, but are adapted as necessary to address incident-specific characteristics.",RECOVER / Incident Recovery Plan Execution / Recovery Action Performance,RC.RP-02.01
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,"RC.RP-06.01: Incident management activities are closed under defined conditions and documentation to support subsequent post-mortem review, process improvement, and any follow-on activities is collected and verified.",RECOVER / Incident Recovery Plan Execution / End-of-Incident Determination,RC.RP-06.01
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,"RC.CO-03.01: The organization timely involves and communicates the recovery activities, procedures, cyber risk management issues to the governing body (e.g., the Board or one of its committees), senior management, incident management support teams, and relevant internal stakeholders.",RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.01
APRA CPG 234-70,Incident management,Response to a security compromise ,70,"An APRA-regulated entity would maintain plans in line with information security incidents experienced, both internally and externally. Examples of information security incidents include: 
a)  malware infection (e.g. virus, ransomware); 
b)  data breach (customer or internal data); 
c)  compromise of staff or customer credentials (e.g. as the result of a phishing attack); 
d)  denial-of-service attack; 
e)  hack of an internet-facing platform; 
f)  website defacement; and 
g)  compromise by an advanced persistent threat.",Semantic,Superset of,7,10,"RC.CO-04.01: Pre-established communication plans and message templates, and authorized protocols, contacts, media, and communications, are used to notify and inform the public and key external stakeholders about an incident.",RECOVER / Incident Recovery Communication / Public Information Sharing,RC.CO-04.01
APRA CPG 234-71,Incident management,Response to a security compromise ,71,"An APRA-regulated entity would typically have clear accountability and communication strategies to limit the impact of information security incidents. Under CPS 234, this includes escalation and reporting of information security incidents to the Board, other governing bodies and individuals responsible for information security incident management and oversight, as appropriate. A regulated entity could also include customer communication as part of any such communication strategy where appropriate. Incident response plans would also typically assist in compliance with regulatory notification requirements. ",Semantic,Superset of,9,10,"RS.MA-01.01: The organization's response plans are in place and executed during or after an incident, to include coordination with relevant third parties and engagement of third-party incident support services.",RESPOND / Incident Management / Response Plan Execution,RS.MA-01.01
APRA CPG 234-71,Incident management,Response to a security compromise ,71,"An APRA-regulated entity would typically have clear accountability and communication strategies to limit the impact of information security incidents. Under CPS 234, this includes escalation and reporting of information security incidents to the Board, other governing bodies and individuals responsible for information security incident management and oversight, as appropriate. A regulated entity could also include customer communication as part of any such communication strategy where appropriate. Incident response plans would also typically assist in compliance with regulatory notification requirements. ",Semantic,Superset of,8,10,"RS.MA-04.01: Response activities are centrally coordinated, response progress and milestones are tracked and documented, and new incident information is assimilated into ongoing tasks, assignments, and escalations.",RESPOND / Incident Management / Incident Escalation,RS.MA-04.01
APRA CPG 234-71,Incident management,Response to a security compromise ,71,"An APRA-regulated entity would typically have clear accountability and communication strategies to limit the impact of information security incidents. Under CPS 234, this includes escalation and reporting of information security incidents to the Board, other governing bodies and individuals responsible for information security incident management and oversight, as appropriate. A regulated entity could also include customer communication as part of any such communication strategy where appropriate. Incident response plans would also typically assist in compliance with regulatory notification requirements. ",Semantic,Superset of,9,10,RS.MA-05.01: The organization's incident response plans define severity levels and associated criteria for initiating response plans and escalating event response to appropriate stakeholders and management levels.,RESPOND / Incident Management / Recovery Initiation,RS.MA-05.01
APRA CPG 234-71,Incident management,Response to a security compromise ,71,"An APRA-regulated entity would typically have clear accountability and communication strategies to limit the impact of information security incidents. Under CPS 234, this includes escalation and reporting of information security incidents to the Board, other governing bodies and individuals responsible for information security incident management and oversight, as appropriate. A regulated entity could also include customer communication as part of any such communication strategy where appropriate. Incident response plans would also typically assist in compliance with regulatory notification requirements. ",Semantic,Superset of,8,10,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01
APRA CPG 234-71,Incident management,Response to a security compromise ,71,"An APRA-regulated entity would typically have clear accountability and communication strategies to limit the impact of information security incidents. Under CPS 234, this includes escalation and reporting of information security incidents to the Board, other governing bodies and individuals responsible for information security incident management and oversight, as appropriate. A regulated entity could also include customer communication as part of any such communication strategy where appropriate. Incident response plans would also typically assist in compliance with regulatory notification requirements. ",Semantic,Superset of,9,10,"RS.CO-02.01: The organization's incident response program includes defined and approved escalation protocols, linked to organizational decision levels and communication strategies, including which types of information will be shared, with whom (e.g., the organization's governing authority and senior management), and how information provided to the organization will be acted upon.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.01
APRA CPG 234-71,Incident management,Response to a security compromise ,71,"An APRA-regulated entity would typically have clear accountability and communication strategies to limit the impact of information security incidents. Under CPS 234, this includes escalation and reporting of information security incidents to the Board, other governing bodies and individuals responsible for information security incident management and oversight, as appropriate. A regulated entity could also include customer communication as part of any such communication strategy where appropriate. Incident response plans would also typically assist in compliance with regulatory notification requirements. ",Semantic,Superset of,8,10,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02
APRA CPG 234-71,Incident management,Response to a security compromise ,71,"An APRA-regulated entity would typically have clear accountability and communication strategies to limit the impact of information security incidents. Under CPS 234, this includes escalation and reporting of information security incidents to the Board, other governing bodies and individuals responsible for information security incident management and oversight, as appropriate. A regulated entity could also include customer communication as part of any such communication strategy where appropriate. Incident response plans would also typically assist in compliance with regulatory notification requirements. ",Semantic,Superset of,8,10,"RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing,RS.CO-03.02
