,,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,,,,,,,,,
NAIC-IDSML-10,Section 5,Investigation of a Cybersecurity Event,B. Investigation of a Cybersecurity Event,"During the investigation, the Licensee, or an outside vendor and/or service provider designated to act on behalf of the Licensee, shall, at a minimum determine as much of the following information as possible: 
(1) Determine whether a Cybersecurity Event has occurred;
(2) Assess the nature and scope of the Cybersecurity Event;
(3) Identify any Nonpublic Information that may have been involved in the Cybersecurity Event; and
(4) Perform or oversee reasonable measures to restore the security of the Information Systems compromised in the Cybersecurity Event in order to prevent further unauthorized acquisition, release or use of Nonpublic Information in the Licensee’s possession, custody or control.",Semantic,Superset of,9,10,"DE.AE-08.01: Defined criteria and severity levels are in place to facilitate the declaration, escalation, organization, and alignment of response activities to response plans within the organization and across relevant third parties.",DETECT / Adverse Event Analysis / Incident Declaration,110.259,DE.AE-08.01,
NAIC-IDSML-10,Section 5,Investigation of a Cybersecurity Event,B. Investigation of a Cybersecurity Event,"During the investigation, the Licensee, or an outside vendor and/or service provider designated to act on behalf of the Licensee, shall, at a minimum determine as much of the following information as possible: 
(1) Determine whether a Cybersecurity Event has occurred;
(2) Assess the nature and scope of the Cybersecurity Event;
(3) Identify any Nonpublic Information that may have been involved in the Cybersecurity Event; and
(4) Perform or oversee reasonable measures to restore the security of the Information Systems compromised in the Cybersecurity Event in order to prevent further unauthorized acquisition, release or use of Nonpublic Information in the Licensee’s possession, custody or control.",Semantic,Intersects with,8,10,"RS.MA-01.01: The organization's response plans are in place and executed during or after an incident, to include coordination with relevant third parties and engagement of third-party incident support services.",RESPOND / Incident Management / Response Plan Execution,113.260,RS.MA-01.01,
NAIC-IDSML-10,Section 5,Investigation of a Cybersecurity Event,B. Investigation of a Cybersecurity Event,"During the investigation, the Licensee, or an outside vendor and/or service provider designated to act on behalf of the Licensee, shall, at a minimum determine as much of the following information as possible: 
(1) Determine whether a Cybersecurity Event has occurred;
(2) Assess the nature and scope of the Cybersecurity Event;
(3) Identify any Nonpublic Information that may have been involved in the Cybersecurity Event; and
(4) Perform or oversee reasonable measures to restore the security of the Information Systems compromised in the Cybersecurity Event in order to prevent further unauthorized acquisition, release or use of Nonpublic Information in the Licensee’s possession, custody or control.",Semantic,Superset of,9,10,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination,119.265,RS.AN-03.01,
NAIC-IDSML-10,Section 5,Investigation of a Cybersecurity Event,B. Investigation of a Cybersecurity Event,"During the investigation, the Licensee, or an outside vendor and/or service provider designated to act on behalf of the Licensee, shall, at a minimum determine as much of the following information as possible: 
(1) Determine whether a Cybersecurity Event has occurred;
(2) Assess the nature and scope of the Cybersecurity Event;
(3) Identify any Nonpublic Information that may have been involved in the Cybersecurity Event; and
(4) Perform or oversee reasonable measures to restore the security of the Information Systems compromised in the Cybersecurity Event in order to prevent further unauthorized acquisition, release or use of Nonpublic Information in the Licensee’s possession, custody or control.",Semantic,Superset of,9,10,"RS.AN-06.01: The organization establishes a risk-based approach and procedures for quarantining systems, conducting investigations, and collecting and preserving evidence per best practices and forensic standards.",RESPOND / Incident Analysis / Investigation Documentation,120.266,RS.AN-06.01,
NAIC-IDSML-10,Section 5,Investigation of a Cybersecurity Event,B. Investigation of a Cybersecurity Event,"During the investigation, the Licensee, or an outside vendor and/or service provider designated to act on behalf of the Licensee, shall, at a minimum determine as much of the following information as possible: 
(1) Determine whether a Cybersecurity Event has occurred;
(2) Assess the nature and scope of the Cybersecurity Event;
(3) Identify any Nonpublic Information that may have been involved in the Cybersecurity Event; and
(4) Perform or oversee reasonable measures to restore the security of the Information Systems compromised in the Cybersecurity Event in order to prevent further unauthorized acquisition, release or use of Nonpublic Information in the Licensee’s possession, custody or control.",Semantic,Superset of,9,10,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,122.268,RS.AN-08.01,
NAIC-IDSML-10,Section 5,Investigation of a Cybersecurity Event,B. Investigation of a Cybersecurity Event,"During the investigation, the Licensee, or an outside vendor and/or service provider designated to act on behalf of the Licensee, shall, at a minimum determine as much of the following information as possible: 
(1) Determine whether a Cybersecurity Event has occurred;
(2) Assess the nature and scope of the Cybersecurity Event;
(3) Identify any Nonpublic Information that may have been involved in the Cybersecurity Event; and
(4) Perform or oversee reasonable measures to restore the security of the Information Systems compromised in the Cybersecurity Event in order to prevent further unauthorized acquisition, release or use of Nonpublic Information in the Licensee’s possession, custody or control.",Semantic,Superset of,9,10,"RS.MI-01.01: The organization has established processes to implement vulnerability mitigation plans, involve third-party partners and outside expertise as needed, and contain incidents in a timely manner.",RESPOND / Incident Mitigation / Incident Containment,127.274,RS.MI-01.01,
NAIC-IDSML-10,Section 5,Investigation of a Cybersecurity Event,B. Investigation of a Cybersecurity Event,"During the investigation, the Licensee, or an outside vendor and/or service provider designated to act on behalf of the Licensee, shall, at a minimum determine as much of the following information as possible: 
(1) Determine whether a Cybersecurity Event has occurred;
(2) Assess the nature and scope of the Cybersecurity Event;
(3) Identify any Nonpublic Information that may have been involved in the Cybersecurity Event; and
(4) Perform or oversee reasonable measures to restore the security of the Information Systems compromised in the Cybersecurity Event in order to prevent further unauthorized acquisition, release or use of Nonpublic Information in the Licensee’s possession, custody or control.",Semantic,Superset of,9,10,"RS.MI-02.01: Targeted investigations and actions are taken to ensure that all vulnerabilities, system components, devices, or remnants used or leveraged in an attack (e.g., malware, compromised accounts, open ports, etc.) are removed or otherwise returned to a secure and reliable state, or that plans to address the vulnerabilities are documented.",RESPOND / Incident Mitigation / Incident Eradication,128.275,RS.MI-02.01,
NAIC-IDSML-10,Section 5,Investigation of a Cybersecurity Event,B. Investigation of a Cybersecurity Event,"During the investigation, the Licensee, or an outside vendor and/or service provider designated to act on behalf of the Licensee, shall, at a minimum determine as much of the following information as possible: 
(1) Determine whether a Cybersecurity Event has occurred;
(2) Assess the nature and scope of the Cybersecurity Event;
(3) Identify any Nonpublic Information that may have been involved in the Cybersecurity Event; and
(4) Perform or oversee reasonable measures to restore the security of the Information Systems compromised in the Cybersecurity Event in order to prevent further unauthorized acquisition, release or use of Nonpublic Information in the Licensee’s possession, custody or control.",Semantic,Intersects with,8,10,"RC.RP-02.02: Recovery plans are executed by first resuming critical services and core business functions, while minimizing any potential concurrent and widespread interruptions to interconnected entities and critical infrastructure, such as energy and telecommunications.",RECOVER / Incident Recovery Plan Execution / Recovery Action Performance,132.278,RC.RP-02.02,
NAIC-IDSML-11,Section 5,Investigation of a Cybersecurity Event,C. Investigation of a Cybersecurity Event,"If the Licensee learns that a Cybersecurity Event has or may have occurred in a system maintained by a Third-Party Service Provider, the Licensee will complete the steps listed in Section 5B above or confirm and document that the Third-Party Service Provider has completed those steps.",Semantic,Intersects with,9,10,"GV.RM-05.02: The organization establishes minimum requirements for its third-parties that include how the organizations will communicate and coordinate in times of emergency, including:
1) Joint maintenance of contingency plans;
2) Responsibilities for responding to incidents, including forensic investigations;
3) Planning and testing strategies that address severe events in order to identify single points of failure that would cause wide-scale disruption; and
4) Incorporating the potential impact of an incident into their BCM process and ensure resilience capabilities are in place.",GOVERN / Risk Management Strategy / Lines of Communication,013.029,GV.RM-05.02,
NAIC-IDSML-11,Section 5,Investigation of a Cybersecurity Event,C. Investigation of a Cybersecurity Event,"If the Licensee learns that a Cybersecurity Event has or may have occurred in a system maintained by a Third-Party Service Provider, the Licensee will complete the steps listed in Section 5B above or confirm and document that the Third-Party Service Provider has completed those steps.",Semantic,Intersects with,9,10,"GV.SC-08.01: The organization's resilience strategy, plans, tests, and exercises incorporate its external dependencies and critical business partners.",<div>GOVERN / Supply Chain Risk Management / Third Party Incident Management Integration</div>,035.080,GV.SC-08.01,
NAIC-IDSML-11,Section 5,Investigation of a Cybersecurity Event,C. Investigation of a Cybersecurity Event,"If the Licensee learns that a Cybersecurity Event has or may have occurred in a system maintained by a Third-Party Service Provider, the Licensee will complete the steps listed in Section 5B above or confirm and document that the Third-Party Service Provider has completed those steps.",Semantic,Intersects with,7,10,"DE.AE-04.01: The organization has a documented process to analyze and triage incidents to assess root cause, technical impact, mitigation priority, and business impact on the organization, as well as across the financial sector and other third party stakeholders.",DETECT / Adverse Event Analysis / Impact & Scope Determination,107.255,DE.AE-04.01,
NAIC-IDSML-11,Section 5,Investigation of a Cybersecurity Event,C. Investigation of a Cybersecurity Event,"If the Licensee learns that a Cybersecurity Event has or may have occurred in a system maintained by a Third-Party Service Provider, the Licensee will complete the steps listed in Section 5B above or confirm and document that the Third-Party Service Provider has completed those steps.",Semantic,Intersects with,9,10,"RS.MA-01.01: The organization's response plans are in place and executed during or after an incident, to include coordination with relevant third parties and engagement of third-party incident support services.",RESPOND / Incident Management / Response Plan Execution,113.260,RS.MA-01.01,
NAIC-IDSML-11,Section 5,Investigation of a Cybersecurity Event,C. Investigation of a Cybersecurity Event,"If the Licensee learns that a Cybersecurity Event has or may have occurred in a system maintained by a Third-Party Service Provider, the Licensee will complete the steps listed in Section 5B above or confirm and document that the Third-Party Service Provider has completed those steps.",Semantic,Intersects with,8,10,"RC.RP-05.02: Business, technology, cybersecurity, and relevant third-party stakeholders confirm that systems, data, and services have been returned to functional and secure states and that a stable operational status has been achieved.",RECOVER / Incident Recovery Plan Execution / Asset Integrity Restoration,135.282,RC.RP-05.02,
NAIC-IDSML-11,Section 5,Investigation of a Cybersecurity Event,C. Investigation of a Cybersecurity Event,"If the Licensee learns that a Cybersecurity Event has or may have occurred in a system maintained by a Third-Party Service Provider, the Licensee will complete the steps listed in Section 5B above or confirm and document that the Third-Party Service Provider has completed those steps.",Semantic,Intersects with,9,10,"EX.CN-02.02: Minimum cybersecurity requirements for third-parties include requirements for incident and vulnerability notification, to include the types of events requiring notification, notification timeframes, and escalation protocols.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,148.303,EX.CN-02.02,
NAIC-IDSML-12,Section 5,Investigation of a Cybersecurity Event,D. Investigation of a Cybersecurity Event,The Licensee shall maintain records concerning all Cybersecurity Events for a period of at least five years from the date of the Cybersecurity Event and shall produce those records upon demand of the Commissioner.,Semantic,Intersects with,9,10,"ID.AM-08.03: The organization establishes policies, standards, and procedures for data governance, data management, and data retention consistent with its legal obligations and the value of data as an organizational asset.",<div><font color=black>IDENTIFY / Asset Management / Asset Life Cycle Management</font></div>,053.107,ID.AM-08.03,
NAIC-IDSML-12,Section 5,Investigation of a Cybersecurity Event,D. Investigation of a Cybersecurity Event,The Licensee shall maintain records concerning all Cybersecurity Events for a period of at least five years from the date of the Cybersecurity Event and shall produce those records upon demand of the Commissioner.,Semantic,Intersects with,9,10,"PR.PS-04.03: The organization's activity logs and other security event logs are generated, reviewed, securely stored, and retained in accordance with data retention obligations and established standards.",PROTECT / Platform Security / Log Record Generation,088.208,PR.PS-04.03,
NAIC-IDSML-12,Section 5,Investigation of a Cybersecurity Event,D. Investigation of a Cybersecurity Event,The Licensee shall maintain records concerning all Cybersecurity Events for a period of at least five years from the date of the Cybersecurity Event and shall produce those records upon demand of the Commissioner.,Semantic,Intersects with,9,10,"RS.AN-06.01: The organization establishes a risk-based approach and procedures for quarantining systems, conducting investigations, and collecting and preserving evidence per best practices and forensic standards.",RESPOND / Incident Analysis / Investigation Documentation,120.266,RS.AN-06.01,
NAIC-IDSML-12,Section 5,Investigation of a Cybersecurity Event,D. Investigation of a Cybersecurity Event,The Licensee shall maintain records concerning all Cybersecurity Events for a period of at least five years from the date of the Cybersecurity Event and shall produce those records upon demand of the Commissioner.,Semantic,Intersects with,9,10,"RS.AN-07.01: Incident-related forensic data is captured, secured, and preserved in a manner supporting integrity, provenance, and evidentiary value.",RESPOND / Incident Analysis / Incident Data Collection & Preservation,121.267,RS.AN-07.01,
NAIC-IDSML-12,Section 5,Investigation of a Cybersecurity Event,D. Investigation of a Cybersecurity Event,The Licensee shall maintain records concerning all Cybersecurity Events for a period of at least five years from the date of the Cybersecurity Event and shall produce those records upon demand of the Commissioner.,Semantic,Intersects with,9,10,"RC.RP-06.01: Incident management activities are closed under defined conditions and documentation to support subsequent post-mortem review, process improvement, and any follow-on activities is collected and verified.",RECOVER / Incident Recovery Plan Execution / End-of-Incident Determination,136.283,RC.RP-06.01,
NAIC-IDSML-13,Section 6,Notification of a Cybersecurity Event,A. Notification to the Commissioner,"Each Licensee shall notify the Commissioner as promptly as possible but in no event later than 72 hours from a determination that a Cybersecurity Event has occurred when either of the following criteria has been met: 
(1) This State is the Licensee’s state of domicile, in the case of an insurer, or this State is the Licensee’s home state, in the case of a producer, as those terms are defined in [insert reference to Producer Licensing Model Act]; or
(2) The Licensee reasonably believes that the Nonpublic Information involved is of 250 or more Consumers residing in this State and that is either of the following:
(a) A Cybersecurity Event impacting the Licensee of which notice is required to be provided to any government body, self-regulatory agency or any other supervisory body pursuant to any state or federal law; or
(b) A Cybersecurity Event that has a reasonable likelihood of materially harming:
(i) Any Consumer residing in this State; or
(ii) Any material part of the normal operation(s) of the Licensee.
B. The Licensee shall provide as much of the following information as possible. The Licensee shall provide the information in electronic form as directed by the Commissioner. The Licensee shall have a continuing obligation to update and supplement initial and subsequent notifications to the Commissioner concerning the Cybersecurity Event.",Semantic,Intersects with,7,8,"DE.AE-04.01: The organization has a documented process to analyze and triage incidents to assess root cause, technical impact, mitigation priority, and business impact on the organization, as well as across the financial sector and other third party stakeholders.",DETECT / Adverse Event Analysis / Impact & Scope Determination,107.255,DE.AE-04.01,
NAIC-IDSML-13,Section 6,Notification of a Cybersecurity Event,A. Notification to the Commissioner,"Each Licensee shall notify the Commissioner as promptly as possible but in no event later than 72 hours from a determination that a Cybersecurity Event has occurred when either of the following criteria has been met: 
(1) This State is the Licensee’s state of domicile, in the case of an insurer, or this State is the Licensee’s home state, in the case of a producer, as those terms are defined in [insert reference to Producer Licensing Model Act]; or
(2) The Licensee reasonably believes that the Nonpublic Information involved is of 250 or more Consumers residing in this State and that is either of the following:
(a) A Cybersecurity Event impacting the Licensee of which notice is required to be provided to any government body, self-regulatory agency or any other supervisory body pursuant to any state or federal law; or
(b) A Cybersecurity Event that has a reasonable likelihood of materially harming:
(i) Any Consumer residing in this State; or
(ii) Any material part of the normal operation(s) of the Licensee.
B. The Licensee shall provide as much of the following information as possible. The Licensee shall provide the information in electronic form as directed by the Commissioner. The Licensee shall have a continuing obligation to update and supplement initial and subsequent notifications to the Commissioner concerning the Cybersecurity Event.",Semantic,Intersects with,8,8,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DETECT / Adverse Event Analysis / Event Information Sharing,108.256,DE.AE-06.01,
NAIC-IDSML-13,Section 6,Notification of a Cybersecurity Event,A. Notification to the Commissioner,"Each Licensee shall notify the Commissioner as promptly as possible but in no event later than 72 hours from a determination that a Cybersecurity Event has occurred when either of the following criteria has been met: 
(1) This State is the Licensee’s state of domicile, in the case of an insurer, or this State is the Licensee’s home state, in the case of a producer, as those terms are defined in [insert reference to Producer Licensing Model Act]; or
(2) The Licensee reasonably believes that the Nonpublic Information involved is of 250 or more Consumers residing in this State and that is either of the following:
(a) A Cybersecurity Event impacting the Licensee of which notice is required to be provided to any government body, self-regulatory agency or any other supervisory body pursuant to any state or federal law; or
(b) A Cybersecurity Event that has a reasonable likelihood of materially harming:
(i) Any Consumer residing in this State; or
(ii) Any material part of the normal operation(s) of the Licensee.
B. The Licensee shall provide as much of the following information as possible. The Licensee shall provide the information in electronic form as directed by the Commissioner. The Licensee shall have a continuing obligation to update and supplement initial and subsequent notifications to the Commissioner concerning the Cybersecurity Event.",Semantic,Intersects with,7,8,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination,119.265,RS.AN-03.01,
NAIC-IDSML-13,Section 6,Notification of a Cybersecurity Event,A. Notification to the Commissioner,"Each Licensee shall notify the Commissioner as promptly as possible but in no event later than 72 hours from a determination that a Cybersecurity Event has occurred when either of the following criteria has been met: 
(1) This State is the Licensee’s state of domicile, in the case of an insurer, or this State is the Licensee’s home state, in the case of a producer, as those terms are defined in [insert reference to Producer Licensing Model Act]; or
(2) The Licensee reasonably believes that the Nonpublic Information involved is of 250 or more Consumers residing in this State and that is either of the following:
(a) A Cybersecurity Event impacting the Licensee of which notice is required to be provided to any government body, self-regulatory agency or any other supervisory body pursuant to any state or federal law; or
(b) A Cybersecurity Event that has a reasonable likelihood of materially harming:
(i) Any Consumer residing in this State; or
(ii) Any material part of the normal operation(s) of the Licensee.
B. The Licensee shall provide as much of the following information as possible. The Licensee shall provide the information in electronic form as directed by the Commissioner. The Licensee shall have a continuing obligation to update and supplement initial and subsequent notifications to the Commissioner concerning the Cybersecurity Event.",Semantic,Intersects with,7,8,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,122.268,RS.AN-08.01,
NAIC-IDSML-13,Section 6,Notification of a Cybersecurity Event,A. Notification to the Commissioner,"Each Licensee shall notify the Commissioner as promptly as possible but in no event later than 72 hours from a determination that a Cybersecurity Event has occurred when either of the following criteria has been met: 
(1) This State is the Licensee’s state of domicile, in the case of an insurer, or this State is the Licensee’s home state, in the case of a producer, as those terms are defined in [insert reference to Producer Licensing Model Act]; or
(2) The Licensee reasonably believes that the Nonpublic Information involved is of 250 or more Consumers residing in this State and that is either of the following:
(a) A Cybersecurity Event impacting the Licensee of which notice is required to be provided to any government body, self-regulatory agency or any other supervisory body pursuant to any state or federal law; or
(b) A Cybersecurity Event that has a reasonable likelihood of materially harming:
(i) Any Consumer residing in this State; or
(ii) Any material part of the normal operation(s) of the Licensee.
B. The Licensee shall provide as much of the following information as possible. The Licensee shall provide the information in electronic form as directed by the Commissioner. The Licensee shall have a continuing obligation to update and supplement initial and subsequent notifications to the Commissioner concerning the Cybersecurity Event.",Semantic,Intersects with,8,8,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,124.270,RS.CO-02.02,
NAIC-IDSML-13,Section 6,Notification of a Cybersecurity Event,A. Notification to the Commissioner,"Each Licensee shall notify the Commissioner as promptly as possible but in no event later than 72 hours from a determination that a Cybersecurity Event has occurred when either of the following criteria has been met: 
(1) This State is the Licensee’s state of domicile, in the case of an insurer, or this State is the Licensee’s home state, in the case of a producer, as those terms are defined in [insert reference to Producer Licensing Model Act]; or
(2) The Licensee reasonably believes that the Nonpublic Information involved is of 250 or more Consumers residing in this State and that is either of the following:
(a) A Cybersecurity Event impacting the Licensee of which notice is required to be provided to any government body, self-regulatory agency or any other supervisory body pursuant to any state or federal law; or
(b) A Cybersecurity Event that has a reasonable likelihood of materially harming:
(i) Any Consumer residing in this State; or
(ii) Any material part of the normal operation(s) of the Licensee.
B. The Licensee shall provide as much of the following information as possible. The Licensee shall provide the information in electronic form as directed by the Commissioner. The Licensee shall have a continuing obligation to update and supplement initial and subsequent notifications to the Commissioner concerning the Cybersecurity Event.",Semantic,Intersects with,6,8,"RC.CO-03.02: The organization promptly communicates the status of recovery activities to regulatory authorities and relevant external stakeholders, as required or appropriate.",RECOVER / Incident Recovery Communication / Recovery Activity Communication,138.285,RC.CO-03.02,
NAIC-IDSML-14,Section 6,Notification of a Cybersecurity Event,B. Notification to the Commissioner,"The Licensee shall provide as much of the following information as possible. The Licensee shall provide the information in electronic form as directed by the Commissioner. The Licensee shall have a continuing obligation to update and supplement initial and subsequent notifications to the Commissioner concerning the Cybersecurity Event. 
(1) Date of the Cybersecurity Event;
(2) Description of how the information was exposed, lost, stolen, or breached, including the specific roles and responsibilities of Third-Party Service Providers, if any;
(3) How the Cybersecurity Event was discovered;
(4) Whether any lost, stolen, or breached information has been recovered and if so, how this was done;
(5) The identity of the source of the Cybersecurity Event;
(6) Whether Licensee has filed a police report or has notified any regulatory, government or law enforcement agencies and, if so, when such notification was provided;
(7) Description of the specific types of information acquired without authorization. Specific types of information means particular data elements including, for example, types of medical information, types of financial information or types of information allowing identification of the Consumer;
(8) The period during which the Information System was compromised by the Cybersecurity Event;
(9) The number of total Consumers in this State affected by the Cybersecurity Event. The Licensee shall provide the best estimate in the initial report to the Commissioner and update this estimate with each subsequent report to the Commissioner pursuant to this section;
(10) The results of any internal review identifying a lapse in either automated controls or internal procedures, or confirming that all automated controls or internal procedures were followed;
(11) Description of efforts being undertaken to remediate the situation which permitted the Cybersecurity Event to occur;
(12) A copy of the Licensee’s privacy policy and a statement outlining the steps the Licensee will take to investigate and notify Consumers affected by the Cybersecurity Event; and
(13) Name of a contact person who is both familiar with the Cybersecurity Event and authorized to act for the Licensee.",Semantic,Intersects with,8,8,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,124.270,RS.CO-02.02,
NAIC-IDSML-14,Section 6,Notification of a Cybersecurity Event,B. Notification to the Commissioner,"The Licensee shall provide as much of the following information as possible. The Licensee shall provide the information in electronic form as directed by the Commissioner. The Licensee shall have a continuing obligation to update and supplement initial and subsequent notifications to the Commissioner concerning the Cybersecurity Event. 
(1) Date of the Cybersecurity Event;
(2) Description of how the information was exposed, lost, stolen, or breached, including the specific roles and responsibilities of Third-Party Service Providers, if any;
(3) How the Cybersecurity Event was discovered;
(4) Whether any lost, stolen, or breached information has been recovered and if so, how this was done;
(5) The identity of the source of the Cybersecurity Event;
(6) Whether Licensee has filed a police report or has notified any regulatory, government or law enforcement agencies and, if so, when such notification was provided;
(7) Description of the specific types of information acquired without authorization. Specific types of information means particular data elements including, for example, types of medical information, types of financial information or types of information allowing identification of the Consumer;
(8) The period during which the Information System was compromised by the Cybersecurity Event;
(9) The number of total Consumers in this State affected by the Cybersecurity Event. The Licensee shall provide the best estimate in the initial report to the Commissioner and update this estimate with each subsequent report to the Commissioner pursuant to this section;
(10) The results of any internal review identifying a lapse in either automated controls or internal procedures, or confirming that all automated controls or internal procedures were followed;
(11) Description of efforts being undertaken to remediate the situation which permitted the Cybersecurity Event to occur;
(12) A copy of the Licensee’s privacy policy and a statement outlining the steps the Licensee will take to investigate and notify Consumers affected by the Cybersecurity Event; and
(13) Name of a contact person who is both familiar with the Cybersecurity Event and authorized to act for the Licensee.",Semantic,Intersects with,8,8,"RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing,125.273,RS.CO-03.02,
NAIC-IDSML-15,Section 6,Notification of a Cybersecurity Event,C. Notification to Consumers.,"Notification to Consumers. Licensee shall comply with [insert state’s data breach notification law], as applicable, and provide a copy of the notice sent to Consumers under that statute to the Commissioner, when a Licensee is required to notify the Commissioner under Section 6A",Semantic,Subset of,9,10,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,124.270,RS.CO-02.02,
NAIC-IDSML-15,Section 6,Notification of a Cybersecurity Event,C. Notification to Consumers.,"Notification to Consumers. Licensee shall comply with [insert state’s data breach notification law], as applicable, and provide a copy of the notice sent to Consumers under that statute to the Commissioner, when a Licensee is required to notify the Commissioner under Section 6A",Semantic,Subset of,8,10,"RC.CO-04.01: Pre-established communication plans and message templates, and authorized protocols, contacts, media, and communications, are used to notify and inform the public and key external stakeholders about an incident.",RECOVER / Incident Recovery Communication / Public Information Sharing,139.286,RC.CO-04.01,
NAIC-IDSML-16,Section 6,Notification of a Cybersecurity Event,D. Notice Regarding Cybersecurity Events of Third-Party Service Providers,"1) In the case of a Cybersecurity Event in a system maintained by a Third-Party Service Provider, of which the Licensee has become aware, the Licensee shall treat such event as it would under Section 6A. 
(2) The computation of Licensee’s deadlines shall begin on the day after the Third-Party Service Provider notifies the Licensee of the Cybersecurity Event or the Licensee otherwise has actual knowledge of the Cybersecurity Event, whichever is sooner.
(3) Nothing in this Act shall prevent or abrogate an agreement between a Licensee and another Licensee, a Third-Party Service Provider or any other party to fulfill any of the investigation requirements imposed under Section 5 or notice requirements imposed under Section 6.",Semantic,Intersects with,8,8,"GV.RM-05.02: The organization establishes minimum requirements for its third-parties that include how the organizations will communicate and coordinate in times of emergency, including:
1) Joint maintenance of contingency plans;
2) Responsibilities for responding to incidents, including forensic investigations;
3) Planning and testing strategies that address severe events in order to identify single points of failure that would cause wide-scale disruption; and
4) Incorporating the potential impact of an incident into their BCM process and ensure resilience capabilities are in place.",GOVERN / Risk Management Strategy / Lines of Communication,013.029,GV.RM-05.02,
NAIC-IDSML-16,Section 6,Notification of a Cybersecurity Event,D. Notice Regarding Cybersecurity Events of Third-Party Service Providers,"1) In the case of a Cybersecurity Event in a system maintained by a Third-Party Service Provider, of which the Licensee has become aware, the Licensee shall treat such event as it would under Section 6A. 
(2) The computation of Licensee’s deadlines shall begin on the day after the Third-Party Service Provider notifies the Licensee of the Cybersecurity Event or the Licensee otherwise has actual knowledge of the Cybersecurity Event, whichever is sooner.
(3) Nothing in this Act shall prevent or abrogate an agreement between a Licensee and another Licensee, a Third-Party Service Provider or any other party to fulfill any of the investigation requirements imposed under Section 5 or notice requirements imposed under Section 6.",Semantic,Intersects with,7,8,"RS.MA-01.01: The organization's response plans are in place and executed during or after an incident, to include coordination with relevant third parties and engagement of third-party incident support services.",RESPOND / Incident Management / Response Plan Execution,113.260,RS.MA-01.01,
NAIC-IDSML-16,Section 6,Notification of a Cybersecurity Event,D. Notice Regarding Cybersecurity Events of Third-Party Service Providers,"1) In the case of a Cybersecurity Event in a system maintained by a Third-Party Service Provider, of which the Licensee has become aware, the Licensee shall treat such event as it would under Section 6A. 
(2) The computation of Licensee’s deadlines shall begin on the day after the Third-Party Service Provider notifies the Licensee of the Cybersecurity Event or the Licensee otherwise has actual knowledge of the Cybersecurity Event, whichever is sooner.
(3) Nothing in this Act shall prevent or abrogate an agreement between a Licensee and another Licensee, a Third-Party Service Provider or any other party to fulfill any of the investigation requirements imposed under Section 5 or notice requirements imposed under Section 6.",Semantic,Intersects with,8,8,"EX.CN-02.02: Minimum cybersecurity requirements for third-parties include requirements for incident and vulnerability notification, to include the types of events requiring notification, notification timeframes, and escalation protocols.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,148.303,EX.CN-02.02,
