,,,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,Canada Office of the Superintendent of Financial Institutions (OSFI) Cyber Security Self-Assessment (CSSA) to CRI Profile v2.1 Mapping,,
OSFI CSSA-71,Recover,Testing and Planning,71,"The FRFI develops and tests playbooks to ensure timely restoration of data, systems or services impacted by cyber risk incidents.",Functional ,Superset of,9,10,"RS.MI-01.01: The organization has established processes to implement vulnerability mitigation plans, involve third-party partners and outside expertise as needed, and contain incidents in a timely manner.",RESPOND / Incident Mitigation / Incident Containment,RS.MI-01.01
OSFI CSSA-71,Recover,Testing and Planning,71,"The FRFI develops and tests playbooks to ensure timely restoration of data, systems or services impacted by cyber risk incidents.",Functional ,Superset of,9,10,"RS.MI-02.01: Targeted investigations and actions are taken to ensure that all vulnerabilities, system components, devices, or remnants used or leveraged in an attack (e.g., malware, compromised accounts, open ports, etc.) are removed or otherwise returned to a secure and reliable state, or that plans to address the vulnerabilities are documented.",RESPOND / Incident Mitigation / Incident Eradication,RS.MI-02.01
OSFI CSSA-71,Recover,Testing and Planning,71,"The FRFI develops and tests playbooks to ensure timely restoration of data, systems or services impacted by cyber risk incidents.",Functional ,Subset of ,9,10,"RC.RP-05.01: The organization maintains documented procedures for sanitizing, testing, authorizing, and returning systems to service following an incident or investigation.",RECOVER / Incident Recovery Plan Execution / Asset Integrity Restoration,RC.RP-05.01
OSFI CSSA-71,Recover,Testing and Planning,71,"The FRFI develops and tests playbooks to ensure timely restoration of data, systems or services impacted by cyber risk incidents.",Functional ,Superset of,9,10,"RC.RP-06.01: Incident management activities are closed under defined conditions and documentation to support subsequent post-mortem review, process improvement, and any follow-on activities is collected and verified.",RECOVER / Incident Recovery Plan Execution / End-of-Incident Determination,RC.RP-06.01
OSFI CSSA-72,Recover,Testing and Planning,72,The FRFI has a Disaster Recovery Plan and/or Business Continuity Plan to execute in the event of a material cyber risk incident.,Functional ,Subset of ,9,10,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.01
OSFI CSSA-72,Recover,Testing and Planning,72,The FRFI has a Disaster Recovery Plan and/or Business Continuity Plan to execute in the event of a material cyber risk incident.,Functional ,Superset of,9,10,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,GV.RM-09.02
OSFI CSSA-72,Recover,Testing and Planning,72,The FRFI has a Disaster Recovery Plan and/or Business Continuity Plan to execute in the event of a material cyber risk incident.,Functional ,Equal,10,10,"ID.IM-04.01: The organization's business continuity, disaster recovery, crisis management, and response plans are in place and managed, aligned with each other, and incorporate considerations of cyber incidents.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.01
OSFI CSSA-72,Recover,Testing and Planning,72,The FRFI has a Disaster Recovery Plan and/or Business Continuity Plan to execute in the event of a material cyber risk incident.,Functional ,Superset of,9,10,"ID.IM-04.02: The organization's incident response and business continuity plans contain clearly defined roles, responsibilities, and levels of decision-making authority, and include all needed areas of participation and expertise across the organization and key third-parties.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.02
OSFI CSSA-72,Recover,Testing and Planning,72,The FRFI has a Disaster Recovery Plan and/or Business Continuity Plan to execute in the event of a material cyber risk incident.,Functional ,Superset of,8,10,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08
OSFI CSSA-72,Recover,Testing and Planning,72,The FRFI has a Disaster Recovery Plan and/or Business Continuity Plan to execute in the event of a material cyber risk incident.,Functional ,Intersects with,9,10,"RC.RP-01.01: The organization executes its recovery plans, including incident recovery, disaster recovery, and business continuity plans, during or after an incident to resume operations.",RECOVER / Incident Recovery Plan Execution / Recovery Plan Execution,RC.RP-01.01
OSFI CSSA-73,Learn,Continuous Improvement,73,The FRFI regularly reviews its IT environment and mitigates risks from end of life/support hardware and software.,Functional ,Intersects with,7,10,"ID.AM-05.02: The organization's hardware, software, and data assets are prioritized for protection based on their sensitivity, criticality, vulnerability, business value, and dependency role in the delivery of critical services.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.02
OSFI CSSA-73,Learn,Continuous Improvement,73,The FRFI regularly reviews its IT environment and mitigates risks from end of life/support hardware and software.,Functional ,Superset of,7,10,"ID.AM-08.04: The organization's asset management processes ensure the protection of sensitive data throughout removal, transfers, maintenance, end-of-life, and secure disposal or re-use.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.04
OSFI CSSA-73,Learn,Continuous Improvement,73,The FRFI regularly reviews its IT environment and mitigates risks from end of life/support hardware and software.,Functional ,Intersects with,8,10,PR.PS-02.02: The organization establishes standards and practices for ongoing application management to ensure that applications remain secure and continue to meet organizational needs.,PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.02
OSFI CSSA-73,Learn,Continuous Improvement,73,The FRFI regularly reviews its IT environment and mitigates risks from end of life/support hardware and software.,Functional ,Equal,10,10,"PR.PS-02.03: Technology obsolescence, unsupported systems, and end-of-life decommissioning/replacements are addressed in a risk-based manner and actively planned for, funded, managed, and securely executed.",PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.03
OSFI CSSA-74,Learn,Continuous Improvement,74,The FRFI conducts threat modeling to improve cyber resilience.,Functional ,Intersects with,8,10,"ID.RA-05.01: Threats, vulnerabilities, likelihoods, and impacts are used to determine overall technology, cybersecurity, and resilience risk to the organization.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.01
OSFI CSSA-74,Learn,Continuous Improvement,74,The FRFI conducts threat modeling to improve cyber resilience.,Functional ,Equal,10,10,"ID.RA-05.02: The organization has established threat modeling capabilities to identify how and why critical assets might be compromised by a threat actor, what level of protection is needed for those critical assets, and what the impact would be if that protection failed.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.02
OSFI CSSA-74,Learn,Continuous Improvement,74,The FRFI conducts threat modeling to improve cyber resilience.,Functional ,Intersects with,7,10,"ID.RA-05.04: The organization uses scenario planning, table-top-exercises, or similar event analysis techniques to identify vulnerabilities and determine potential impacts to critical infrastructure, technology, and business processes.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.04
OSFI CSSA-74,Learn,Continuous Improvement,74,The FRFI conducts threat modeling to improve cyber resilience.,Functional ,Intersects with,7,10,"ID.RA-06.04: The organization assesses the threats, impacts, and risks that could adversely affect the organization's ability to provide services on an ongoing basis, and develops its resilience requirements and plans to address those risks.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.04
OSFI CSSA-75,Learn,Continuous Improvement,75,"The FRFI conducts regular simulation exercises (e.g. ransomware, DDOS) to validate response plans, and familiarize stakeholders with their roles and responsibilities.",Functional ,Superset of,9,10,"ID.IM-02.03: The organization tests and validates the effectiveness of the incident detection, reporting, and communication processes and protocols with internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.03
OSFI CSSA-75,Learn,Continuous Improvement,75,"The FRFI conducts regular simulation exercises (e.g. ransomware, DDOS) to validate response plans, and familiarize stakeholders with their roles and responsibilities.",Functional ,Superset of,9,10,"ID.IM-02.04: The organization's testing program validates the effectiveness of its resilience strategy and response, disaster recovery, and resumption plans on a regular basis or upon major changes to business or system functions, and includes external stakeholders as required.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.04
OSFI CSSA-75,Learn,Continuous Improvement,75,"The FRFI conducts regular simulation exercises (e.g. ransomware, DDOS) to validate response plans, and familiarize stakeholders with their roles and responsibilities.",Functional ,Superset of,9,10,"ID.IM-02.05: The organization establishes testing programs that include a range of scenarios, including severe but plausible scenarios (e.g., disruptive, destructive, corruptive), that could affect the organization's ability to service internal and external stakeholders.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.05
OSFI CSSA-75,Learn,Continuous Improvement,75,"The FRFI conducts regular simulation exercises (e.g. ransomware, DDOS) to validate response plans, and familiarize stakeholders with their roles and responsibilities.",Functional ,Superset of,8,10,"ID.IM-02.09: Corrective actions for gaps identified during security-related, incident management, response plan, and disaster recovery testing are retested and validated, or have a formal risk acceptance or risk exception.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.09
OSFI CSSA-75,Learn,Continuous Improvement,75,"The FRFI conducts regular simulation exercises (e.g. ransomware, DDOS) to validate response plans, and familiarize stakeholders with their roles and responsibilities.",Functional ,Superset of,8,10,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08
OSFI CSSA-76,Learn,Continuous Improvement,76,"The FRFI subscribes to reputable information sources for understanding of emerging threats, trends, vulnerabilities, and cyber risk best practices.",Functional ,Intersects with,9,10,"ID.RA-02.01: The organization participates actively (in alignment with its business operations, inherent risk, and complexity) in information-sharing groups and collectives (e.g., cross-industry, cross-government and cross-border groups) to gather, distribute and analyze information about cyber practices, cyber threats, and early warning indicators relating to cyber threats.",IDENTIFY / Risk Assessment / Information Sharing Forums,ID.RA-02.01
OSFI CSSA-76,Learn,Continuous Improvement,76,"The FRFI subscribes to reputable information sources for understanding of emerging threats, trends, vulnerabilities, and cyber risk best practices.",Functional ,Intersects with,8,10,"ID.RA-03.01: The organization, on an ongoing basis, identifies, analyzes, correlates, characterizes, and reports threats that are internal and external to the firm.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.01
OSFI CSSA-76,Learn,Continuous Improvement,76,"The FRFI subscribes to reputable information sources for understanding of emerging threats, trends, vulnerabilities, and cyber risk best practices.",Functional ,Superset of,9,10,"ID.RA-03.02: The organization solicits and considers threat intelligence received from the organization's stakeholders, service and utility providers, and other industry and security organizations.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.02
OSFI CSSA-76,Learn,Continuous Improvement,76,"The FRFI subscribes to reputable information sources for understanding of emerging threats, trends, vulnerabilities, and cyber risk best practices.",Functional ,Intersects with,9,10,"ID.RA-03.04: The organization regularly reviews and updates its threat analysis methodology, threat information sources, and supporting tools.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.04
OSFI CSSA-76,Learn,Continuous Improvement,76,"The FRFI subscribes to reputable information sources for understanding of emerging threats, trends, vulnerabilities, and cyber risk best practices.",Functional ,Superset of,9,10,"ID.RA-08.01: The organization has established enterprise processes for soliciting, receiving and appropriately channeling vulnerability disclosures from:
(1) Public sources (e.g., customers and security researchers);
(2) Vulnerability sharing forums (e.g., FS-ISAC); and
(3) Third-parties (e.g., cloud vendors);
(4) Internal sources (e.g., development teams).",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response,ID.RA-08.01
OSFI CSSA-76,Learn,Continuous Improvement,76,"The FRFI subscribes to reputable information sources for understanding of emerging threats, trends, vulnerabilities, and cyber risk best practices.",Functional ,Intersects with,7,10,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08
OSFI CSSA-77,Learn,Continuous Improvement,77,	The FRFI keeps abreast of new and emerging technologies and their impact on cyber risk.,Functional ,Intersects with,9,10,"GV.RM-07.01: The organization has mechanisms in place to ensure that strategies, initiatives, opportunities, and emerging technologies (e.g., artificial intelligence, quantum computing, etc.) are evaluated both in terms of risks and uncertainties that are potentially detrimental to the organization, as well as potentially advantageous to the organization (i.e., positive risks).",GOVERN / Risk Management Strategy / Strategic Opportunities,GV.RM-07.01
OSFI CSSA-77,Learn,Continuous Improvement,77,	The FRFI keeps abreast of new and emerging technologies and their impact on cyber risk.,Functional ,Intersects with,9,10,"GV.RM-08.01: Technology and cybersecurity risk management frameworks are applied to, and are adapted as needed by, the organization's innovations in technology use and adoption of emerging technologies.",GOVERN / Risk Management Strategy  / Technology Assimilation & Implementations,GV.RM-08.01
OSFI CSSA-77,Learn,Continuous Improvement,77,	The FRFI keeps abreast of new and emerging technologies and their impact on cyber risk.,Functional ,Intersects with,7,10,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08
OSFI CSSA-77,Learn,Continuous Improvement,77,	The FRFI keeps abreast of new and emerging technologies and their impact on cyber risk.,Functional ,Intersects with,9,10,"PR.AT-01.04: As new technology is deployed or undergoes change that also requires changes in practices, all impacted personnel (e.g., end-users, developers, operators, etc.) are trained on the new system and any accompanying technology and cybersecurity risks.",PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.04
OSFI CSSA-78,Learn,Security Education,78,"The FRFI has a cyber risk education and awareness plan for employees, customers and other stakeholders.",Functional ,Superset of,8,10,PR.AT-01.01: All personnel receive cybersecurity awareness training upon hire and on a regular basis.,PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.01
OSFI CSSA-78,Learn,Security Education,78,"The FRFI has a cyber risk education and awareness plan for employees, customers and other stakeholders.",Functional ,Superset of,8,10,"PR.AT-01.02: Cybersecurity awareness training includes, at a minimum, awareness of and competencies for data protection, personal data handling, compliance obligations, working with third parties, detecting cyber risks, and how to report any unusual activity or incidents.",PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.02
OSFI CSSA-78,Learn,Security Education,78,"The FRFI has a cyber risk education and awareness plan for employees, customers and other stakeholders.",Functional ,Superset of,8,10,"PR.AT-01.03: Cybersecurity awareness training is updated on a regular basis to reflect risks and threats identified by the organization, the organization's security policies and standards, applicable laws and regulations, and changes in individual responsibilities.",PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.03
OSFI CSSA-78,Learn,Security Education,78,"The FRFI has a cyber risk education and awareness plan for employees, customers and other stakeholders.",Functional ,Superset of,8,10,PR.AT-02.05: All third party staff receive cybersecurity awareness and job training sufficient for them to perform their duties and maintain organizational security.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.05
OSFI CSSA-78,Learn,Security Education,78,"The FRFI has a cyber risk education and awareness plan for employees, customers and other stakeholders.",Functional ,Superset of,8,10,"PR.AT-02.06: The organization has established and maintains a cybersecurity awareness program through which the organization's customers are kept aware of new threats and vulnerabilities, basic cybersecurity hygiene practices, and their role in cybersecurity, as appropriate.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.06
OSFI CSSA-78,Learn,Security Education,78,"The FRFI has a cyber risk education and awareness plan for employees, customers and other stakeholders.",Functional ,Superset of,8,10,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.07
OSFI CSSA-79,Learn,Security Education,79,"	The FRFI provides for necessary and appropriate training for cyber risk personnel, to maintain current knowledge and skills, in support of their roles and responsibilities.",Functional ,Superset of,9,10,"PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.01
OSFI CSSA-79,Learn,Security Education,79,"	The FRFI provides for necessary and appropriate training for cyber risk personnel, to maintain current knowledge and skills, in support of their roles and responsibilities.",Functional ,Superset of,9,10,"PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.02
OSFI CSSA-79,Learn,Security Education,79,"	The FRFI provides for necessary and appropriate training for cyber risk personnel, to maintain current knowledge and skills, in support of their roles and responsibilities.",Functional ,Superset of,9,10,PR.AT-02.03: All personnel (employee and third party) are made aware of and are trained for their role and operational steps in response and recovery plans.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.03
OSFI CSSA-79,Learn,Security Education,79,"	The FRFI provides for necessary and appropriate training for cyber risk personnel, to maintain current knowledge and skills, in support of their roles and responsibilities.",Functional ,Superset of,9,10,PR.AT-02.04: The organization maintains and enhances the skills and knowledge of the in-house staff performing incident management and forensic investigation activities.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.04
OSFI CSSA-79,Learn,Security Education,79,"	The FRFI provides for necessary and appropriate training for cyber risk personnel, to maintain current knowledge and skills, in support of their roles and responsibilities.",Functional ,Superset of,9,10,PR.AT-02.05: All third party staff receive cybersecurity awareness and job training sufficient for them to perform their duties and maintain organizational security.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.05
OSFI CSSA-79,Learn,Security Education,79,"	The FRFI provides for necessary and appropriate training for cyber risk personnel, to maintain current knowledge and skills, in support of their roles and responsibilities.",Functional ,Superset of,9,10,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.07
OSFI CSSA-80,Learn,Security Education,80,"The FRFI provides all staff with ongoing security awareness education to make them aware of their role and responsibilities with respect to cyber risk, to help them identify threats and to explain cyber risk best practices.",Functional ,Superset of,7,10,PR.AT-01.01: All personnel receive cybersecurity awareness training upon hire and on a regular basis.,PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.01
OSFI CSSA-80,Learn,Security Education,80,"The FRFI provides all staff with ongoing security awareness education to make them aware of their role and responsibilities with respect to cyber risk, to help them identify threats and to explain cyber risk best practices.",Functional ,Superset of,9,10,"PR.AT-01.02: Cybersecurity awareness training includes, at a minimum, awareness of and competencies for data protection, personal data handling, compliance obligations, working with third parties, detecting cyber risks, and how to report any unusual activity or incidents.",PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.02
OSFI CSSA-80,Learn,Security Education,80,"The FRFI provides all staff with ongoing security awareness education to make them aware of their role and responsibilities with respect to cyber risk, to help them identify threats and to explain cyber risk best practices.",Functional ,Superset of,9,10,"PR.AT-01.03: Cybersecurity awareness training is updated on a regular basis to reflect risks and threats identified by the organization, the organization's security policies and standards, applicable laws and regulations, and changes in individual responsibilities.",PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.03
OSFI CSSA-80,Learn,Security Education,80,"The FRFI provides all staff with ongoing security awareness education to make them aware of their role and responsibilities with respect to cyber risk, to help them identify threats and to explain cyber risk best practices.",Functional ,Superset of,9,10,"PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.01
OSFI CSSA-80,Learn,Security Education,80,"The FRFI provides all staff with ongoing security awareness education to make them aware of their role and responsibilities with respect to cyber risk, to help them identify threats and to explain cyber risk best practices.",Functional ,Superset of,9,10,"PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.02
OSFI CSSA-80,Learn,Security Education,80,"The FRFI provides all staff with ongoing security awareness education to make them aware of their role and responsibilities with respect to cyber risk, to help them identify threats and to explain cyber risk best practices.",Functional ,Superset of,7,10,PR.AT-02.03: All personnel (employee and third party) are made aware of and are trained for their role and operational steps in response and recovery plans.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.03
OSFI CSSA-80,Learn,Security Education,80,"The FRFI provides all staff with ongoing security awareness education to make them aware of their role and responsibilities with respect to cyber risk, to help them identify threats and to explain cyber risk best practices.",Functional ,Superset of,7,10,PR.AT-02.04: The organization maintains and enhances the skills and knowledge of the in-house staff performing incident management and forensic investigation activities.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.04
OSFI CSSA-80,Learn,Security Education,80,"The FRFI provides all staff with ongoing security awareness education to make them aware of their role and responsibilities with respect to cyber risk, to help them identify threats and to explain cyber risk best practices.",Functional ,Superset of,7,10,PR.AT-02.05: All third party staff receive cybersecurity awareness and job training sufficient for them to perform their duties and maintain organizational security.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.05
OSFI CSSA-80,Learn,Security Education,80,"The FRFI provides all staff with ongoing security awareness education to make them aware of their role and responsibilities with respect to cyber risk, to help them identify threats and to explain cyber risk best practices.",Functional ,Superset of,9,10,"PR.AT-02.06: The organization has established and maintains a cybersecurity awareness program through which the organization's customers are kept aware of new threats and vulnerabilities, basic cybersecurity hygiene practices, and their role in cybersecurity, as appropriate.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.06
OSFI CSSA-80,Learn,Security Education,80,"The FRFI provides all staff with ongoing security awareness education to make them aware of their role and responsibilities with respect to cyber risk, to help them identify threats and to explain cyber risk best practices.",Functional ,Superset of,9,10,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.07
OSFI CSSA-81,Learn,Security Education,81,"FRFI executives and senior management are regularly briefed on cyber risk trends, identified risks, incidents, planned cyber risk initiatives and associated, potential impacts on the organization.",Functional ,Superset of,8,10,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01
OSFI CSSA-81,Learn,Security Education,81,"FRFI executives and senior management are regularly briefed on cyber risk trends, identified risks, incidents, planned cyber risk initiatives and associated, potential impacts on the organization.",Functional ,Superset of,9,10,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01
OSFI CSSA-81,Learn,Security Education,81,"FRFI executives and senior management are regularly briefed on cyber risk trends, identified risks, incidents, planned cyber risk initiatives and associated, potential impacts on the organization.",Functional ,Superset of,8,10,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.01
OSFI CSSA-81,Learn,Security Education,81,"FRFI executives and senior management are regularly briefed on cyber risk trends, identified risks, incidents, planned cyber risk initiatives and associated, potential impacts on the organization.",Functional ,Superset of,9,10,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.01
OSFI CSSA-81,Learn,Security Education,81,"FRFI executives and senior management are regularly briefed on cyber risk trends, identified risks, incidents, planned cyber risk initiatives and associated, potential impacts on the organization.",Functional ,Superset of,8,10,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
OSFI CSSA-81,Learn,Security Education,81,"FRFI executives and senior management are regularly briefed on cyber risk trends, identified risks, incidents, planned cyber risk initiatives and associated, potential impacts on the organization.",Functional ,Superset of,8,10,"GV.OV-01.03: The designated Technology Officer (e.g., CIO or CTO) regularly reports to the governing authority (e.g., the Board or one of its committees) on the status of technology use and risks within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.03
OSFI CSSA-81,Learn,Security Education,81,"FRFI executives and senior management are regularly briefed on cyber risk trends, identified risks, incidents, planned cyber risk initiatives and associated, potential impacts on the organization.",Functional ,Superset of,8,10,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.07
OSFI CSSA-81,Learn,Security Education,81,"FRFI executives and senior management are regularly briefed on cyber risk trends, identified risks, incidents, planned cyber risk initiatives and associated, potential impacts on the organization.",Functional ,Superset of,8,10,"PR.AT-02.08: Where the organization's governing authority (e.g., the Board or one of its committees) does not have adequate cybersecurity expertise, they should have direct access to the senior officer responsible for cybersecurity and independent sources of expertise to discuss cybersecurity related matters.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.08
