,,"NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping",,
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,7,10,No Gaps Identified,"ID.IM-04.03: Recovery plans include service resumption steps for all operating environments, including traditional, alternate recovery, and highly available (e.g., cloud) infrastructures.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.03
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,7,10,No Gaps Identified,"ID.IM-04.05: Recovery plans include restoration of resilience following a long term loss of capability (e.g., at an alternate site or a third-party), detailing when the plan should be activated and implementation steps.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.05
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,8,10,No Gaps Identified,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04.08
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Intersects with,5,10,No Gaps Identified,PR.AT-02.03: All personnel (employee and third party) are made aware of and are trained for their role and operational steps in response and recovery plans.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.03
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,8,10,No Gaps Identified,"DE.AE-04.01: The organization has a documented process to analyze and triage incidents to assess root cause, technical impact, mitigation priority, and business impact on the organization, as well as across the financial sector and other third party stakeholders.",DETECT / Adverse Event Analysis / Impact & Scope Determination,DE.AE-04.01
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,8,10,No Gaps Identified,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DETECT / Adverse Event Analysis / Event Information Sharing,DE.AE-06.01
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,7,10,No Gaps Identified,RS.MA-05.01: The organization's incident response plans define severity levels and associated criteria for initiating response plans and escalating event response to appropriate stakeholders and management levels.,RESPOND / Incident Management / Recovery Initiation,RS.MA-05.01
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,8,10,No Gaps Identified,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination,RS.AN-03.01
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,8,10,No Gaps Identified,"RS.AN-08.01: Available incident information is assessed to determine the extent of impact to the organization and its stakeholders, the potential near- and long-term financial implications, and whether or not the incident constitutes a material event.",RESPOND / Incident Analysis / Incident Magnitude Determination,RS.AN-08.01
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,7,10,No Gaps Identified,"RS.CO-02.01: The organization's incident response program includes defined and approved escalation protocols, linked to organizational decision levels and communication strategies, including which types of information will be shared, with whom (e.g., the organization's governing authority and senior management), and how information provided to the organization will be acted upon.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.01
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,7,10,No Gaps Identified,"RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing,RS.CO-03.02
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Intersects with,7,10,No Gaps Identified,"RC.RP-01.01: The organization executes its recovery plans, including incident recovery, disaster recovery, and business continuity plans, during or after an incident to resume operations.",RECOVER / Incident Recovery Plan Execution / Recovery Plan Execution,RC.RP-01.01
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,7,10,No Gaps Identified,"RC.RP-02.02: Recovery plans are executed by first resuming critical services and core business functions, while minimizing any potential concurrent and widespread interruptions to interconnected entities and critical infrastructure, such as energy and telecommunications.",RECOVER / Incident Recovery Plan Execution / Recovery Action Performance,RC.RP-02.02
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,5,10,No Gaps Identified,"RC.RP-03.01: Restoration steps include the verification of backups, data replications, system images, and other restoration assets prior to continued use.",RECOVER / Incident Recovery Plan Execution / Backup & Restoration Asset Integrity,RC.RP-03.01
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,8,10,No Gaps Identified,"RC.RP-06.01: Incident management activities are closed under defined conditions and documentation to support subsequent post-mortem review, process improvement, and any follow-on activities is collected and verified.",RECOVER / Incident Recovery Plan Execution / End-of-Incident Determination,RC.RP-06.01
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Superset of,5,10,No Gaps Identified,"RC.CO-03.01: The organization timely involves and communicates the recovery activities, procedures, cyber risk management issues to the governing body (e.g., the Board or one of its committees), senior management, incident management support teams, and relevant internal stakeholders.",RECOVER / Incident Recovery Communication / Recovery Activity Communication,RC.CO-03.01
NYDFS-36,500.16 Incident response and business continuity management,500.16.a(1),"As part of its cybersecurity program, each covered entity shall establish written plans that contain proactive measures to investigate and mitigate cybersecurity events and to ensure operational resilience, including but not limited to incident response, business continuity and disaster recovery plans. 
(1) Incident response plan. Incident response plans shall be reasonably designed to enable prompt response to, and recovery from, any cybersecurity event materially affecting the confidentiality, integrity or availability of the covered entity’s information systems or the continuing functionality of any aspect of the covered entity’s business or operations. Such plans shall address the following areas with respect to different types of cybersecurity events, including disruptive events such as ransomware incidents:
(i) the goals of the incident response plan; 
(ii) the internal processes for responding to a cybersecurity event; 
(iii) the definition of clear roles, responsibilities and levels of decision-making authority; 
(iv) external and internal communications and information sharing; 
(v) identification of requirements for the remediation of any identified 
weaknesses in information systems and associated controls;
(vi) documentation and reporting regarding cybersecurity events and related incident response activities;
(vii) recovery from backups; 
(viii) preparation of root cause analysis that describes how and why the event occurred, what business impact it had, and what will be done to prevent reoccurrence; and
(ix) updating of incident response plans as necessary.
",Semantic,Intersects with,5,10,No Gaps Identified,"EX.MM-02.02: A process is in place to confirm that the organization's critical third-party service providers maintain their business continuity programs, conduct regular resiliency testing, and participate in joint and/or bilateral recovery exercises and tests.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Management,EX.MM-02.02
NYDFS-37,500.16 Incident response and business continuity management,500.16.a(2),"(2) Business continuity and disaster recovery (BCDR) plan. BCDR plans shall be reasonably designed to ensure the availability and functionality of the covered entity’s information systems and material services and protect the covered entity’s personnel, assets and nonpublic information in the event of a cybersecurity-related disruption to its normal 
business activities. Such plans shall, at minimum: 
(i) identify documents, data, facilities, infrastructure, services, personnel and competencies essential to the continued operations of the covered entity’s business;
(ii) identify the supervisory personnel responsible for implementing each aspect of the BCDR plan;
(iii) include a plan to communicate with essential persons in the event of a 
cybersecurity-related disruption to the operations of the covered entity, including employees, counterparties, regulatory authorities, third-party service providers, disaster recovery specialists, the senior governing body and any other persons essential to the recovery of documentation and data and the resumption of operations; 
(iv) include procedures for the timely recovery of critical data and information systems and to resume operations as soon as reasonably possible following a cybersecurity-related disruption to normal business activities;
(v) include procedures for backing up or copying, with sufficient frequency, 
information essential to the operations of the covered entity and storing such information offsite; and
(vi) identify third parties that are necessary to the continued operations of the covered entity’s information systems.",Semantic,Superset of,7,10,No Gaps Identified,"GV.OC-04.03: Resilience requirements to support the delivery of critical services are established for all operating states (e.g., under duress/attack, during recovery, and normal operations).",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.03
NYDFS-37,500.16 Incident response and business continuity management,500.16.a(2),"(2) Business continuity and disaster recovery (BCDR) plan. BCDR plans shall be reasonably designed to ensure the availability and functionality of the covered entity’s information systems and material services and protect the covered entity’s personnel, assets and nonpublic information in the event of a cybersecurity-related disruption to its normal 
business activities. Such plans shall, at minimum: 
(i) identify documents, data, facilities, infrastructure, services, personnel and competencies essential to the continued operations of the covered entity’s business;
(ii) identify the supervisory personnel responsible for implementing each aspect of the BCDR plan;
(iii) include a plan to communicate with essential persons in the event of a 
cybersecurity-related disruption to the operations of the covered entity, including employees, counterparties, regulatory authorities, third-party service providers, disaster recovery specialists, the senior governing body and any other persons essential to the recovery of documentation and data and the resumption of operations; 
(iv) include procedures for the timely recovery of critical data and information systems and to resume operations as soon as reasonably possible following a cybersecurity-related disruption to normal business activities;
(v) include procedures for backing up or copying, with sufficient frequency, 
information essential to the operations of the covered entity and storing such information offsite; and
(vi) identify third parties that are necessary to the continued operations of the covered entity’s information systems.",Semantic,Intersects with,7,10,No Gaps Identified,"GV.OC-04.04: The organization prioritizes the resilience design, planning, testing, and monitoring of systems and other key internal and external dependencies according to their criticality to the supported business functions, enterprise mission, and to the financial services sector.",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.04
NYDFS-37,500.16 Incident response and business continuity management,500.16.a(2),"(2) Business continuity and disaster recovery (BCDR) plan. BCDR plans shall be reasonably designed to ensure the availability and functionality of the covered entity’s information systems and material services and protect the covered entity’s personnel, assets and nonpublic information in the event of a cybersecurity-related disruption to its normal 
business activities. Such plans shall, at minimum: 
(i) identify documents, data, facilities, infrastructure, services, personnel and competencies essential to the continued operations of the covered entity’s business;
(ii) identify the supervisory personnel responsible for implementing each aspect of the BCDR plan;
(iii) include a plan to communicate with essential persons in the event of a 
cybersecurity-related disruption to the operations of the covered entity, including employees, counterparties, regulatory authorities, third-party service providers, disaster recovery specialists, the senior governing body and any other persons essential to the recovery of documentation and data and the resumption of operations; 
(iv) include procedures for the timely recovery of critical data and information systems and to resume operations as soon as reasonably possible following a cybersecurity-related disruption to normal business activities;
(v) include procedures for backing up or copying, with sufficient frequency, 
information essential to the operations of the covered entity and storing such information offsite; and
(vi) identify third parties that are necessary to the continued operations of the covered entity’s information systems.",Semantic,Intersects with,5,10,No Gaps Identified,"GV.OC-05.03: The organization defines objectives (e.g., Recovery Time Objective, Maximum Tolerable Downtime, Impact Tolerance) for the resumption of critical operations in alignment with business imperatives, stakeholder obligations, and critical infrastructure dependencies.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.03
NYDFS-37,500.16 Incident response and business continuity management,500.16.a(2),"(2) Business continuity and disaster recovery (BCDR) plan. BCDR plans shall be reasonably designed to ensure the availability and functionality of the covered entity’s information systems and material services and protect the covered entity’s personnel, assets and nonpublic information in the event of a cybersecurity-related disruption to its normal 
business activities. Such plans shall, at minimum: 
(i) identify documents, data, facilities, infrastructure, services, personnel and competencies essential to the continued operations of the covered entity’s business;
(ii) identify the supervisory personnel responsible for implementing each aspect of the BCDR plan;
(iii) include a plan to communicate with essential persons in the event of a 
cybersecurity-related disruption to the operations of the covered entity, including employees, counterparties, regulatory authorities, third-party service providers, disaster recovery specialists, the senior governing body and any other persons essential to the recovery of documentation and data and the resumption of operations; 
(iv) include procedures for the timely recovery of critical data and information systems and to resume operations as soon as reasonably possible following a cybersecurity-related disruption to normal business activities;
(v) include procedures for backing up or copying, with sufficient frequency, 
information essential to the operations of the covered entity and storing such information offsite; and
(vi) identify third parties that are necessary to the continued operations of the covered entity’s information systems.",Semantic,Intersects with,7,10,No Gaps Identified,"GV.OC-05.04: Recovery point objectives to support data integrity are consistent with the organization's recovery time objectives, information flow dependencies between systems, and business obligations.",GOVERN / Organizational Context / Organizational Service Dependencies,GV.OC-05.04
