,"European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping",,
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"ID.RA-05.03: The organization's business units assess, on an ongoing basis, the technology, cybersecurity, and resilience risks associated with the activities of the business unit.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.03
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"ID.IM-01.02: The organization implements a regular process to collect, store, report, benchmark, and assess trends in actionable performance indicators and risk metrics (e.g., threat KRIs, security incident metrics, vulnerability metrics, and operational measures).",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.02
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"ID.IM-01.03: The organization establishes specific objectives, performance criteria, benchmarks, and tolerance limits to identify areas that have improved or are in need of improvement over time.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.03
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.1,"The FMI should establish an internal, cross-disciplinary steering committee comprised of senior management and appropriate staff (employees and/or contractors) from multiple business units (e.g. business, finance, risk management, internal audit, operations, cybersecurity, information technology (IT), communications, legal and human resources, some of which may be external), to collectively develop a cyber resilience strategy and framework. The steering committee should provide multiple views and perspectives to ensure that the cyber resilience strategy and framework is holistic and focuses on all elements related to people, processes and technology. Among other things, the steering committee should:
(a) evaluate and prioritise internal and external stakeholders’ needs and expectations, deciding on the overall requirements from cyber resilience;
(b) provide direction to senior management on what cyber resilience should achieve;
(c) define who makes cyber resilience decisions and how those decisions should be made;
(d) consider the FMI’s risk landscape and risk tolerance when defining how cyber risks should be addressed;
(e) evaluate how the different business units are impacted and can work together in an integrated manner to achieve enterprise-wide outcomes;
(f) consider how to monitor the performance and outcomes of cyber resilience and intervene if necessary to ensure that the specified direction is followed.",Evolving,Partial,"ID.IM-01.04: Technology and cybersecurity programs include elements designed to assess, manage, and continually improve the quality of program delivery in addressing stakeholder requirements and risk reduction.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.04
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.2,"Based on the above reflections, the FMI should document its cyber resilience strategy. The FMI should ensure that the following aspects are considered and included in the strategy.
(a) The importance of cyber resilience to the FMI and its key stakeholders.
(b) Internal and external stakeholders’ high-level requirements, so that these can be taken into account when defining cyber resilience governance and goals for cyber resilience management. Some common categories of stakeholders that may be considered include: owners and investors, customers and clients, suppliers, employees, legal and regulatory authorities, and competitors and industry bodies.
(c) The FMI’s vision and mission in relation to cyber resilience.
(d) The cyber resilience objectives that the FMI will work towards, which should include ensuring the ongoing efficiency, effectiveness and economic viability of its services to its users and maintaining and promoting the FMI’s ability to anticipate, withstand, contain and recover from cyber attacks.
(e) The FMI’s cyber risk appetite, to ensure that it remains consistent with the FMI’s risk tolerance, as well as with the FMI’s overall business objectives and corporate strategy.
(f) Clear and credible cyber maturity targets and a roadmap or implementation plan with change delivery and planning of capabilities relating to people, processes and technology at pace with threats and proportionate to the FMI’s size and criticality. The strategy should clearly set out how this roadmap or implementation plan will be delivered and how the Board should track and monitor delivery.
(g) The high-level scope of technology and assets which will be used to manage cyber resilience.
(h) The interactions with other participants, FMIs and third parties, on areas such as information sharing.
(i) The governance necessary to enable cyber resilience to be designed, transitioned, operated and improved.
(j) How cyber resilience initiatives will be delivered, managed and funded, including the budgeting process and organisational capabilities.
(k) How cyber resilience will be integrated into all aspects of the FMI, which includes people, processes, technology and new business initiatives.",Evolving,Full Summarily,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission,GV.OC-01.01
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.2,"Based on the above reflections, the FMI should document its cyber resilience strategy. The FMI should ensure that the following aspects are considered and included in the strategy.
(a) The importance of cyber resilience to the FMI and its key stakeholders.
(b) Internal and external stakeholders’ high-level requirements, so that these can be taken into account when defining cyber resilience governance and goals for cyber resilience management. Some common categories of stakeholders that may be considered include: owners and investors, customers and clients, suppliers, employees, legal and regulatory authorities, and competitors and industry bodies.
(c) The FMI’s vision and mission in relation to cyber resilience.
(d) The cyber resilience objectives that the FMI will work towards, which should include ensuring the ongoing efficiency, effectiveness and economic viability of its services to its users and maintaining and promoting the FMI’s ability to anticipate, withstand, contain and recover from cyber attacks.
(e) The FMI’s cyber risk appetite, to ensure that it remains consistent with the FMI’s risk tolerance, as well as with the FMI’s overall business objectives and corporate strategy.
(f) Clear and credible cyber maturity targets and a roadmap or implementation plan with change delivery and planning of capabilities relating to people, processes and technology at pace with threats and proportionate to the FMI’s size and criticality. The strategy should clearly set out how this roadmap or implementation plan will be delivered and how the Board should track and monitor delivery.
(g) The high-level scope of technology and assets which will be used to manage cyber resilience.
(h) The interactions with other participants, FMIs and third parties, on areas such as information sharing.
(i) The governance necessary to enable cyber resilience to be designed, transitioned, operated and improved.
(j) How cyber resilience initiatives will be delivered, managed and funded, including the budgeting process and organisational capabilities.
(k) How cyber resilience will be integrated into all aspects of the FMI, which includes people, processes, technology and new business initiatives.",Evolving,Full Summarily,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.2,"Based on the above reflections, the FMI should document its cyber resilience strategy. The FMI should ensure that the following aspects are considered and included in the strategy.
(a) The importance of cyber resilience to the FMI and its key stakeholders.
(b) Internal and external stakeholders’ high-level requirements, so that these can be taken into account when defining cyber resilience governance and goals for cyber resilience management. Some common categories of stakeholders that may be considered include: owners and investors, customers and clients, suppliers, employees, legal and regulatory authorities, and competitors and industry bodies.
(c) The FMI’s vision and mission in relation to cyber resilience.
(d) The cyber resilience objectives that the FMI will work towards, which should include ensuring the ongoing efficiency, effectiveness and economic viability of its services to its users and maintaining and promoting the FMI’s ability to anticipate, withstand, contain and recover from cyber attacks.
(e) The FMI’s cyber risk appetite, to ensure that it remains consistent with the FMI’s risk tolerance, as well as with the FMI’s overall business objectives and corporate strategy.
(f) Clear and credible cyber maturity targets and a roadmap or implementation plan with change delivery and planning of capabilities relating to people, processes and technology at pace with threats and proportionate to the FMI’s size and criticality. The strategy should clearly set out how this roadmap or implementation plan will be delivered and how the Board should track and monitor delivery.
(g) The high-level scope of technology and assets which will be used to manage cyber resilience.
(h) The interactions with other participants, FMIs and third parties, on areas such as information sharing.
(i) The governance necessary to enable cyber resilience to be designed, transitioned, operated and improved.
(j) How cyber resilience initiatives will be delivered, managed and funded, including the budgeting process and organisational capabilities.
(k) How cyber resilience will be integrated into all aspects of the FMI, which includes people, processes, technology and new business initiatives.",Evolving,Full Summarily,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.02
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.2,"Based on the above reflections, the FMI should document its cyber resilience strategy. The FMI should ensure that the following aspects are considered and included in the strategy.
(a) The importance of cyber resilience to the FMI and its key stakeholders.
(b) Internal and external stakeholders’ high-level requirements, so that these can be taken into account when defining cyber resilience governance and goals for cyber resilience management. Some common categories of stakeholders that may be considered include: owners and investors, customers and clients, suppliers, employees, legal and regulatory authorities, and competitors and industry bodies.
(c) The FMI’s vision and mission in relation to cyber resilience.
(d) The cyber resilience objectives that the FMI will work towards, which should include ensuring the ongoing efficiency, effectiveness and economic viability of its services to its users and maintaining and promoting the FMI’s ability to anticipate, withstand, contain and recover from cyber attacks.
(e) The FMI’s cyber risk appetite, to ensure that it remains consistent with the FMI’s risk tolerance, as well as with the FMI’s overall business objectives and corporate strategy.
(f) Clear and credible cyber maturity targets and a roadmap or implementation plan with change delivery and planning of capabilities relating to people, processes and technology at pace with threats and proportionate to the FMI’s size and criticality. The strategy should clearly set out how this roadmap or implementation plan will be delivered and how the Board should track and monitor delivery.
(g) The high-level scope of technology and assets which will be used to manage cyber resilience.
(h) The interactions with other participants, FMIs and third parties, on areas such as information sharing.
(i) The governance necessary to enable cyber resilience to be designed, transitioned, operated and improved.
(j) How cyber resilience initiatives will be delivered, managed and funded, including the budgeting process and organisational capabilities.
(k) How cyber resilience will be integrated into all aspects of the FMI, which includes people, processes, technology and new business initiatives.",Evolving,Full Summarily,"GV.OC-04.03: Resilience requirements to support the delivery of critical services are established for all operating states (e.g., under duress/attack, during recovery, and normal operations).",GOVERN / Organizational Context / Stakeholder Service Expectations,GV.OC-04.03
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.2,"Based on the above reflections, the FMI should document its cyber resilience strategy. The FMI should ensure that the following aspects are considered and included in the strategy.
(a) The importance of cyber resilience to the FMI and its key stakeholders.
(b) Internal and external stakeholders’ high-level requirements, so that these can be taken into account when defining cyber resilience governance and goals for cyber resilience management. Some common categories of stakeholders that may be considered include: owners and investors, customers and clients, suppliers, employees, legal and regulatory authorities, and competitors and industry bodies.
(c) The FMI’s vision and mission in relation to cyber resilience.
(d) The cyber resilience objectives that the FMI will work towards, which should include ensuring the ongoing efficiency, effectiveness and economic viability of its services to its users and maintaining and promoting the FMI’s ability to anticipate, withstand, contain and recover from cyber attacks.
(e) The FMI’s cyber risk appetite, to ensure that it remains consistent with the FMI’s risk tolerance, as well as with the FMI’s overall business objectives and corporate strategy.
(f) Clear and credible cyber maturity targets and a roadmap or implementation plan with change delivery and planning of capabilities relating to people, processes and technology at pace with threats and proportionate to the FMI’s size and criticality. The strategy should clearly set out how this roadmap or implementation plan will be delivered and how the Board should track and monitor delivery.
(g) The high-level scope of technology and assets which will be used to manage cyber resilience.
(h) The interactions with other participants, FMIs and third parties, on areas such as information sharing.
(i) The governance necessary to enable cyber resilience to be designed, transitioned, operated and improved.
(j) How cyber resilience initiatives will be delivered, managed and funded, including the budgeting process and organisational capabilities.
(k) How cyber resilience will be integrated into all aspects of the FMI, which includes people, processes, technology and new business initiatives.",Evolving,Full Summarily,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.03
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.2,"Based on the above reflections, the FMI should document its cyber resilience strategy. The FMI should ensure that the following aspects are considered and included in the strategy.
(a) The importance of cyber resilience to the FMI and its key stakeholders.
(b) Internal and external stakeholders’ high-level requirements, so that these can be taken into account when defining cyber resilience governance and goals for cyber resilience management. Some common categories of stakeholders that may be considered include: owners and investors, customers and clients, suppliers, employees, legal and regulatory authorities, and competitors and industry bodies.
(c) The FMI’s vision and mission in relation to cyber resilience.
(d) The cyber resilience objectives that the FMI will work towards, which should include ensuring the ongoing efficiency, effectiveness and economic viability of its services to its users and maintaining and promoting the FMI’s ability to anticipate, withstand, contain and recover from cyber attacks.
(e) The FMI’s cyber risk appetite, to ensure that it remains consistent with the FMI’s risk tolerance, as well as with the FMI’s overall business objectives and corporate strategy.
(f) Clear and credible cyber maturity targets and a roadmap or implementation plan with change delivery and planning of capabilities relating to people, processes and technology at pace with threats and proportionate to the FMI’s size and criticality. The strategy should clearly set out how this roadmap or implementation plan will be delivered and how the Board should track and monitor delivery.
(g) The high-level scope of technology and assets which will be used to manage cyber resilience.
(h) The interactions with other participants, FMIs and third parties, on areas such as information sharing.
(i) The governance necessary to enable cyber resilience to be designed, transitioned, operated and improved.
(j) How cyber resilience initiatives will be delivered, managed and funded, including the budgeting process and organisational capabilities.
(k) How cyber resilience will be integrated into all aspects of the FMI, which includes people, processes, technology and new business initiatives.",Evolving,Full Summarily,"GV.RM-02.03: Determination of the organization's risk appetite and tolerance includes consideration of the organization's stakeholder obligations, role in critical infrastructure, and sector-specific risk analysis.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.03
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy,2.1.2.1.2,"Based on the above reflections, the FMI should document its cyber resilience strategy. The FMI should ensure that the following aspects are considered and included in the strategy.
(a) The importance of cyber resilience to the FMI and its key stakeholders.
(b) Internal and external stakeholders’ high-level requirements, so that these can be taken into account when defining cyber resilience governance and goals for cyber resilience management. Some common categories of stakeholders that may be considered include: owners and investors, customers and clients, suppliers, employees, legal and regulatory authorities, and competitors and industry bodies.
(c) The FMI’s vision and mission in relation to cyber resilience.
(d) The cyber resilience objectives that the FMI will work towards, which should include ensuring the ongoing efficiency, effectiveness and economic viability of its services to its users and maintaining and promoting the FMI’s ability to anticipate, withstand, contain and recover from cyber attacks.
(e) The FMI’s cyber risk appetite, to ensure that it remains consistent with the FMI’s risk tolerance, as well as with the FMI’s overall business objectives and corporate strategy.
(f) Clear and credible cyber maturity targets and a roadmap or implementation plan with change delivery and planning of capabilities relating to people, processes and technology at pace with threats and proportionate to the FMI’s size and criticality. The strategy should clearly set out how this roadmap or implementation plan will be delivered and how the Board should track and monitor delivery.
(g) The high-level scope of technology and assets which will be used to manage cyber resilience.
(h) The interactions with other participants, FMIs and third parties, on areas such as information sharing.
(i) The governance necessary to enable cyber resilience to be designed, transitioned, operated and improved.
(j) How cyber resilience initiatives will be delivered, managed and funded, including the budgeting process and organisational capabilities.
(k) How cyber resilience will be integrated into all aspects of the FMI, which includes people, processes, technology and new business initiatives.",Evolving,Full Summarily,"GV.RM-03.04: Technology and cybersecurity risk management considerations are integrated into daily operations, cultural norms, management discussions, and management decision-making, and are tailored to address enterprise-specific risks (both internal and external).",GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.04
