,,"Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping",,,
OSFI B-13-44,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.5 Data protection and loss prevention security controls are implemented,"Starting with clear information classification of its data, FRFIs should design and implement risk-based controls for the protection of its data throughout its life cycle. This includes data loss prevention capabilities and controls for data at rest, data in transit and data in use.",Semantic,Intersects with,8,10,"PR.DS-01.03: The organization defines and implements controls for the protection and use of removable media (e.g., access/use restrictions, encryption, malware scanning, data loss prevention, etc.)",PROTECT / Data Security / Protection of Data at Rest,PR.DS-01.03
OSFI B-13-44,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.5 Data protection and loss prevention security controls are implemented,"Starting with clear information classification of its data, FRFIs should design and implement risk-based controls for the protection of its data throughout its life cycle. This includes data loss prevention capabilities and controls for data at rest, data in transit and data in use.",Semantic,Superset of,9,10,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,PR.DS-02.01
OSFI B-13-44,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.5 Data protection and loss prevention security controls are implemented,"Starting with clear information classification of its data, FRFIs should design and implement risk-based controls for the protection of its data throughout its life cycle. This includes data loss prevention capabilities and controls for data at rest, data in transit and data in use.",Semantic,Superset of,9,10,"PR.DS-10.01: Data-in-use is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, visual shielding, memory integrity monitoring, etc.)",PROTECT / Data Security / Protection of Data in Use,PR.DS-10.01
OSFI B-13-45,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.6 Security vulnerabilities are remediated,"To ensure security vulnerabilities are well managed, FRFIs should:
- Maintain capabilities to ensure timely risk-based patching of vulnerabilities, in vendor software and internal applications, that considers the severity of the threat and vulnerability of the exposed systems;
- Apply patches at the earliest opportunity, commensurate with risk and in accordance with established timelines;
Implement compensating controls as needed to sufficiently mitigate risks when remediation options are not available  (e.g., “zero-day” attacks); and
- Regularly monitor and report on patching status and vulnerability remediation against defined timelines, including any backlog and exceptions.",Semantic,Superset of,9,10,"ID.RA-01.03: The organization establishes and maintains standards and capabilities for ongoing vulnerability management, including systematic scans, or reviews reasonably designed to identify known cyber vulnerabilities and upgrade opportunities, across the organization's environments and assets.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.03
OSFI B-13-45,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.6 Security vulnerabilities are remediated,"To ensure security vulnerabilities are well managed, FRFIs should:
- Maintain capabilities to ensure timely risk-based patching of vulnerabilities, in vendor software and internal applications, that considers the severity of the threat and vulnerability of the exposed systems;
- Apply patches at the earliest opportunity, commensurate with risk and in accordance with established timelines;
Implement compensating controls as needed to sufficiently mitigate risks when remediation options are not available  (e.g., “zero-day” attacks); and
- Regularly monitor and report on patching status and vulnerability remediation against defined timelines, including any backlog and exceptions.",Semantic,Superset of,9,10,"ID.RA-06.05: The organization defines and implements standards and procedures to prioritize and remediate issues identified in vulnerability scanning or penetration testing, including emergency or zero-day threats and vulnerabilities.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.05
OSFI B-13-45,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.6 Security vulnerabilities are remediated,"To ensure security vulnerabilities are well managed, FRFIs should:
- Maintain capabilities to ensure timely risk-based patching of vulnerabilities, in vendor software and internal applications, that considers the severity of the threat and vulnerability of the exposed systems;
- Apply patches at the earliest opportunity, commensurate with risk and in accordance with established timelines;
Implement compensating controls as needed to sufficiently mitigate risks when remediation options are not available  (e.g., “zero-day” attacks); and
- Regularly monitor and report on patching status and vulnerability remediation against defined timelines, including any backlog and exceptions.",Semantic,Superset of,9,10,"ID.RA-06.06: The organization follows documented procedures, consistent with established risk response processes, for mitigating or accepting the risk of vulnerabilities or weaknesses identified in exercises and testing or when responding to incidents.",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.06
OSFI B-13-45,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.6 Security vulnerabilities are remediated,"To ensure security vulnerabilities are well managed, FRFIs should:
- Maintain capabilities to ensure timely risk-based patching of vulnerabilities, in vendor software and internal applications, that considers the severity of the threat and vulnerability of the exposed systems;
- Apply patches at the earliest opportunity, commensurate with risk and in accordance with established timelines;
Implement compensating controls as needed to sufficiently mitigate risks when remediation options are not available  (e.g., “zero-day” attacks); and
- Regularly monitor and report on patching status and vulnerability remediation against defined timelines, including any backlog and exceptions.",Semantic,Intersects with,9,10,ID.RA-07.05: The organization establishes and maintains an exception management process for identified vulnerabilities that cannot be mitigated within target timeframes.,IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.05
OSFI B-13-45,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.6 Security vulnerabilities are remediated,"To ensure security vulnerabilities are well managed, FRFIs should:
- Maintain capabilities to ensure timely risk-based patching of vulnerabilities, in vendor software and internal applications, that considers the severity of the threat and vulnerability of the exposed systems;
- Apply patches at the earliest opportunity, commensurate with risk and in accordance with established timelines;
Implement compensating controls as needed to sufficiently mitigate risks when remediation options are not available  (e.g., “zero-day” attacks); and
- Regularly monitor and report on patching status and vulnerability remediation against defined timelines, including any backlog and exceptions.",Semantic,Superset of,8,10,"ID.RA-08.02: The organization has established enterprise processes to analyze disclosed vulnerabilities with a focus on:
(1) Determining its validity;
(2) Assessing its scope (e.g., affected assets);
(3) Determining it's severity and impact;
(4) Identifying affected stakeholders or customers; and
(5) Analyzing options to respond.",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response,ID.RA-08.02
OSFI B-13-45,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.6 Security vulnerabilities are remediated,"To ensure security vulnerabilities are well managed, FRFIs should:
- Maintain capabilities to ensure timely risk-based patching of vulnerabilities, in vendor software and internal applications, that considers the severity of the threat and vulnerability of the exposed systems;
- Apply patches at the earliest opportunity, commensurate with risk and in accordance with established timelines;
Implement compensating controls as needed to sufficiently mitigate risks when remediation options are not available  (e.g., “zero-day” attacks); and
- Regularly monitor and report on patching status and vulnerability remediation against defined timelines, including any backlog and exceptions.",Semantic,Intersects with,8,10,"ID.IM-01.02: The organization implements a regular process to collect, store, report, benchmark, and assess trends in actionable performance indicators and risk metrics (e.g., threat KRIs, security incident metrics, vulnerability metrics, and operational measures).",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.02
OSFI B-13-45,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.6 Security vulnerabilities are remediated,"To ensure security vulnerabilities are well managed, FRFIs should:
- Maintain capabilities to ensure timely risk-based patching of vulnerabilities, in vendor software and internal applications, that considers the severity of the threat and vulnerability of the exposed systems;
- Apply patches at the earliest opportunity, commensurate with risk and in accordance with established timelines;
Implement compensating controls as needed to sufficiently mitigate risks when remediation options are not available  (e.g., “zero-day” attacks); and
- Regularly monitor and report on patching status and vulnerability remediation against defined timelines, including any backlog and exceptions.",Semantic,Superset of,9,10,"PR.PS-02.01: The organization defines and implements controls to identify patches to technology assets, assess patch criticality and risk, test patches, and apply patches within risk/criticality-based target time frames.",PROTECT / Platform Security / Software Maintenance & Replacement,PR.PS-02.01
OSFI B-13-45,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.6 Security vulnerabilities are remediated,"To ensure security vulnerabilities are well managed, FRFIs should:
- Maintain capabilities to ensure timely risk-based patching of vulnerabilities, in vendor software and internal applications, that considers the severity of the threat and vulnerability of the exposed systems;
- Apply patches at the earliest opportunity, commensurate with risk and in accordance with established timelines;
Implement compensating controls as needed to sufficiently mitigate risks when remediation options are not available  (e.g., “zero-day” attacks); and
- Regularly monitor and report on patching status and vulnerability remediation against defined timelines, including any backlog and exceptions.",Semantic,Intersects with,8,10,"DE.CM-01.04: The organization has policies, procedures, and tools in place to monitor for, detect, and block access from/to devices that are not authorized or do not conform to security policy (e.g., unpatched systems).",DETECT / Continuous Monitoring / Network Monitoring,DE.CM-01.04
OSFI B-13-46,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.7 Identity and access management controls are implemented,"FRFIs should implement risk-based identity and access controls, including Multi-Factor Authentication (MFA) and privileged access management. Where feasible, FRFIs should consider:
- Enforcing the principles of least privilege, conducting regular attestation of access and maintaining strong complex passwords to authenticate employee, customer and third-party access to technology assets;
- Implementing MFA across external-facing channels and privileged accounts (e.g., customers, employees, and third parties);
- Managing privileged account credentials using a secure vault;
Logging and monitoring account activity as part of continuous security monitoring;
- Ensuring system and service accounts are securely authenticated, managed and monitored to detect unauthorized usage; and
- Performing appropriate background checks (where feasible) on persons granted access to the FRFI’s systems or data, commensurate with the criticality and classification of the technology assets.",Semantic,Intersects with,9,10,"GV.RR-04.01: The organization conducts (or causes the conduct of) background/screening checks on all personnel (employees and third party) upon hire/retention, at regular intervals throughout employment, and upon a change in role commensurate with their access to critical data and systems.","GOVERN / Roles, Responsibilities, and Authorities / Human Resource Practices",GV.RR-04.01
OSFI B-13-46,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.7 Identity and access management controls are implemented,"FRFIs should implement risk-based identity and access controls, including Multi-Factor Authentication (MFA) and privileged access management. Where feasible, FRFIs should consider:
- Enforcing the principles of least privilege, conducting regular attestation of access and maintaining strong complex passwords to authenticate employee, customer and third-party access to technology assets;
- Implementing MFA across external-facing channels and privileged accounts (e.g., customers, employees, and third parties);
- Managing privileged account credentials using a secure vault;
Logging and monitoring account activity as part of continuous security monitoring;
- Ensuring system and service accounts are securely authenticated, managed and monitored to detect unauthorized usage; and
- Performing appropriate background checks (where feasible) on persons granted access to the FRFI’s systems or data, commensurate with the criticality and classification of the technology assets.",Semantic,Superset of,9,10,"PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01.01
OSFI B-13-46,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.7 Identity and access management controls are implemented,"FRFIs should implement risk-based identity and access controls, including Multi-Factor Authentication (MFA) and privileged access management. Where feasible, FRFIs should consider:
- Enforcing the principles of least privilege, conducting regular attestation of access and maintaining strong complex passwords to authenticate employee, customer and third-party access to technology assets;
- Implementing MFA across external-facing channels and privileged accounts (e.g., customers, employees, and third parties);
- Managing privileged account credentials using a secure vault;
Logging and monitoring account activity as part of continuous security monitoring;
- Ensuring system and service accounts are securely authenticated, managed and monitored to detect unauthorized usage; and
- Performing appropriate background checks (where feasible) on persons granted access to the FRFI’s systems or data, commensurate with the criticality and classification of the technology assets.",Semantic,Superset of,9,10,"PR.AA-02.01: The organization authenticates identity, validates the authorization level of a user before granting access to its systems, limits the use of an account to a single individual, and attributes activities to the user in logs and transactions.","PROTECT / Identity Management, Authentication, and Access Control / Identity Binding to Credentials",PR.AA-02.01
OSFI B-13-46,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.7 Identity and access management controls are implemented,"FRFIs should implement risk-based identity and access controls, including Multi-Factor Authentication (MFA) and privileged access management. Where feasible, FRFIs should consider:
- Enforcing the principles of least privilege, conducting regular attestation of access and maintaining strong complex passwords to authenticate employee, customer and third-party access to technology assets;
- Implementing MFA across external-facing channels and privileged accounts (e.g., customers, employees, and third parties);
- Managing privileged account credentials using a secure vault;
Logging and monitoring account activity as part of continuous security monitoring;
- Ensuring system and service accounts are securely authenticated, managed and monitored to detect unauthorized usage; and
- Performing appropriate background checks (where feasible) on persons granted access to the FRFI’s systems or data, commensurate with the criticality and classification of the technology assets.",Semantic,Superset of,9,10,"PR.AA-03.01: Based on the risk level of a user access or a specific transaction, the organization defines and implements authentication requirements, which may include multi-factor or out-of-band authentication, and may adopt other real-time risk prevention or mitigation tactics.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.01
OSFI B-13-46,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.7 Identity and access management controls are implemented,"FRFIs should implement risk-based identity and access controls, including Multi-Factor Authentication (MFA) and privileged access management. Where feasible, FRFIs should consider:
- Enforcing the principles of least privilege, conducting regular attestation of access and maintaining strong complex passwords to authenticate employee, customer and third-party access to technology assets;
- Implementing MFA across external-facing channels and privileged accounts (e.g., customers, employees, and third parties);
- Managing privileged account credentials using a secure vault;
Logging and monitoring account activity as part of continuous security monitoring;
- Ensuring system and service accounts are securely authenticated, managed and monitored to detect unauthorized usage; and
- Performing appropriate background checks (where feasible) on persons granted access to the FRFI’s systems or data, commensurate with the criticality and classification of the technology assets.",Semantic,Superset of,9,10,"PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of: 
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal);
(4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03.02
OSFI B-13-46,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.7 Identity and access management controls are implemented,"FRFIs should implement risk-based identity and access controls, including Multi-Factor Authentication (MFA) and privileged access management. Where feasible, FRFIs should consider:
- Enforcing the principles of least privilege, conducting regular attestation of access and maintaining strong complex passwords to authenticate employee, customer and third-party access to technology assets;
- Implementing MFA across external-facing channels and privileged accounts (e.g., customers, employees, and third parties);
- Managing privileged account credentials using a secure vault;
Logging and monitoring account activity as part of continuous security monitoring;
- Ensuring system and service accounts are securely authenticated, managed and monitored to detect unauthorized usage; and
- Performing appropriate background checks (where feasible) on persons granted access to the FRFI’s systems or data, commensurate with the criticality and classification of the technology assets.",Semantic,Superset of,9,10,"PR.AA-04.01: Access credential and authorization mechanisms for internal systems and across security perimeters (e.g., leveraging directory services, directory synchronization, single sign-on, federated access, credential mapping, etc.) are designed to maintain security, integrity, and authenticity.","PROTECT / Identity Management, Authentication, and Access Control / Identity Assertions",PR.AA-04.01
OSFI B-13-46,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.7 Identity and access management controls are implemented,"FRFIs should implement risk-based identity and access controls, including Multi-Factor Authentication (MFA) and privileged access management. Where feasible, FRFIs should consider:
- Enforcing the principles of least privilege, conducting regular attestation of access and maintaining strong complex passwords to authenticate employee, customer and third-party access to technology assets;
- Implementing MFA across external-facing channels and privileged accounts (e.g., customers, employees, and third parties);
- Managing privileged account credentials using a secure vault;
Logging and monitoring account activity as part of continuous security monitoring;
- Ensuring system and service accounts are securely authenticated, managed and monitored to detect unauthorized usage; and
- Performing appropriate background checks (where feasible) on persons granted access to the FRFI’s systems or data, commensurate with the criticality and classification of the technology assets.",Semantic,Superset of,9,10,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.01
OSFI B-13-46,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.7 Identity and access management controls are implemented,"FRFIs should implement risk-based identity and access controls, including Multi-Factor Authentication (MFA) and privileged access management. Where feasible, FRFIs should consider:
- Enforcing the principles of least privilege, conducting regular attestation of access and maintaining strong complex passwords to authenticate employee, customer and third-party access to technology assets;
- Implementing MFA across external-facing channels and privileged accounts (e.g., customers, employees, and third parties);
- Managing privileged account credentials using a secure vault;
Logging and monitoring account activity as part of continuous security monitoring;
- Ensuring system and service accounts are securely authenticated, managed and monitored to detect unauthorized usage; and
- Performing appropriate background checks (where feasible) on persons granted access to the FRFI’s systems or data, commensurate with the criticality and classification of the technology assets.",Semantic,Superset of,9,10,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.02
OSFI B-13-46,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.7 Identity and access management controls are implemented,"FRFIs should implement risk-based identity and access controls, including Multi-Factor Authentication (MFA) and privileged access management. Where feasible, FRFIs should consider:
- Enforcing the principles of least privilege, conducting regular attestation of access and maintaining strong complex passwords to authenticate employee, customer and third-party access to technology assets;
- Implementing MFA across external-facing channels and privileged accounts (e.g., customers, employees, and third parties);
- Managing privileged account credentials using a secure vault;
Logging and monitoring account activity as part of continuous security monitoring;
- Ensuring system and service accounts are securely authenticated, managed and monitored to detect unauthorized usage; and
- Performing appropriate background checks (where feasible) on persons granted access to the FRFI’s systems or data, commensurate with the criticality and classification of the technology assets.",Semantic,Superset of,9,10,"PR.AA-05.03: The organization institutes controls over service account (i.e., accounts used by systems to access other systems) lifecycles to ensure strict security over creation, use, and termination; access credentials (e.g., no embedded passwords in code); frequent reviews of account ownership; visibility for unauthorized use; and hardening against malicious insider use.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05.03
OSFI B-13-47,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.8 Security configuration baselines are enforced and deviations are managed,"FRFIs should implement approved, risk-based security configuration baselines for technology assets and security defence tools, including those provided by third parties. Where possible, security configuration baselines for different defence layers should disable settings and access by default. FRFIs should define and implement processes to manage configuration deviations.",Semantic,Superset of,9,10,"PR.PS-01.01: The organization establishes and maintains standard system security configuration baselines, informed by industry standards and hardening guidelines, to facilitate the consistent application of security settings, configurations, and versions.",PROTECT / Platform Security / Configuration Management,PR.PS-01.01
OSFI B-13-47,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.8 Security configuration baselines are enforced and deviations are managed,"FRFIs should implement approved, risk-based security configuration baselines for technology assets and security defence tools, including those provided by third parties. Where possible, security configuration baselines for different defence layers should disable settings and access by default. FRFIs should define and implement processes to manage configuration deviations.",Semantic,Superset of,9,10,PR.PS-01.02: The organization's systems are configured to provide only essential capabilities to implement the principle of least functionality.,PROTECT / Platform Security / Configuration Management,PR.PS-01.02
OSFI B-13-47,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.8 Security configuration baselines are enforced and deviations are managed,"FRFIs should implement approved, risk-based security configuration baselines for technology assets and security defence tools, including those provided by third parties. Where possible, security configuration baselines for different defence layers should disable settings and access by default. FRFIs should define and implement processes to manage configuration deviations.",Semantic,Superset of,9,10,PR.PS-01.03: The organization employs detection measures and performs regular enforcement checks to ensure that non-compliance with baseline security standards is promptly identified and rectified.,PROTECT / Platform Security / Configuration Management,PR.PS-01.03
OSFI B-13-47,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.8 Security configuration baselines are enforced and deviations are managed,"FRFIs should implement approved, risk-based security configuration baselines for technology assets and security defence tools, including those provided by third parties. Where possible, security configuration baselines for different defence layers should disable settings and access by default. FRFIs should define and implement processes to manage configuration deviations.",Semantic,Intersects with,8,10,"PR.IR-01.07: The organization defines and implements controls for securely configuring and operating Operational Technologies, Industrial Control Systems, and Internet-of-Things (IoT) devices (e.g., segregated printer networks, resetting of default passwords, etc.)",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.07
OSFI B-13-47,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.8 Security configuration baselines are enforced and deviations are managed,"FRFIs should implement approved, risk-based security configuration baselines for technology assets and security defence tools, including those provided by third parties. Where possible, security configuration baselines for different defence layers should disable settings and access by default. FRFIs should define and implement processes to manage configuration deviations.",Semantic,Intersects with,8,10,"DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",DE.CM-09.03
OSFI B-13-47,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.8 Security configuration baselines are enforced and deviations are managed,"FRFIs should implement approved, risk-based security configuration baselines for technology assets and security defence tools, including those provided by third parties. Where possible, security configuration baselines for different defence layers should disable settings and access by default. FRFIs should define and implement processes to manage configuration deviations.",Semantic,Intersects with,8,10,"EX.DD-04.01: The organization defines and implements procedures for assessing the compatibility, security, integrity, and authenticity of externally-developed or externally-sourced applications, software, software components, and firmware before deployment and upon any major change.",EXTEND / Procurement Planning and Due Diligence / Product & Service Due Diligence,EX.DD-04.01
OSFI B-13-48,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.9 Application scanning and testing capabilities are employed,"Where feasible, static and/or dynamic scanning and testing capabilities should be used to ensure new, and/or changes to existing, systems and applications are assessed for vulnerabilities prior to release into the production environment. Security controls should also be implemented to maintain security when development and operations practices are combined through a continuous and automated development pipeline.",Semantic,Intersects with,8,9,"PR.PS-06.01: The organization implements Secure Systems Development Lifecycle processes for in-house software design, configuration, and development, employing best practices from secure-by-design methodologies (e.g., secure coding, code review, application security testing, etc.) during all phases of both traditional and agile projects.",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.01
OSFI B-13-48,"3. Cyber Security

Outcome: A secure technology posture that maintains the confidentiality, integrity and availability of the FRFI’s technology assets.","3.2 Defend
Principle 15: FRFIs should design, implement and maintain multi-layer, preventive cyber security controls and measures to safeguard its technology assets.",3.2.9 Application scanning and testing capabilities are employed,"Where feasible, static and/or dynamic scanning and testing capabilities should be used to ensure new, and/or changes to existing, systems and applications are assessed for vulnerabilities prior to release into the production environment. Security controls should also be implemented to maintain security when development and operations practices are combined through a continuous and automated development pipeline.",Semantic,Intersects with,7,9,"PR.PS-06.04: Systems development and testing tools, processes, and environments employ security mechanisms to protect and improve the integrity and confidentiality of both the SDLC process and the resulting product (e.g., secured code repositories, segmented environments, automated builds, etc.)",PROTECT / Platform Security / Secure Systems Development Practices,PR.PS-06.04
